% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	stream	harqId	ndi	rv	mcs	tbSize
0.055	1	0	14	15	5	9	0	1	12	0	19	1	0	12	52
0.061	1	0	14	15	6	5	0	1	12	0	19	1	0	12	135
0.063	1	0	3	12	6	7	0	1	12	0	19	1	0	12	52
0.069	1	0	3	12	7	3	0	1	12	0	19	1	0	12	135
0.07	1	0	3	12	7	4	0	1	12	0	18	1	0	12	135
0.071	1	0	3	12	7	5	0	1	12	0	17	1	0	12	52
0.075	1	0	3	12	7	9	0	1	12	0	19	1	0	12	135
0.076	1	0	3	12	8	0	0	1	12	0	18	1	0	12	52
0.077	1	0	24	25	8	1	0	1	12	0	19	1	0	12	52
0.083	1	0	24	25	8	7	0	1	12	0	19	1	0	12	80
0.083	1	0	23	24	8	7	0	1	12	0	19	1	0	12	52
0.084	1	0	24	25	8	8	0	1	12	0	18	1	0	12	80
0.084	1	0	7	8	8	8	0	1	12	0	19	1	0	12	52
0.085	1	0	24	25	8	9	0	1	12	0	17	1	0	12	135
0.086	1	0	24	25	9	0	0	1	12	0	16	1	0	12	135
0.087	1	0	24	25	9	1	0	1	12	0	15	1	0	12	135
0.088	1	0	24	25	9	2	0	1	12	0	19	1	0	12	52
0.088	1	0	8	7	9	2	0	1	12	0	19	1	0	12	52
0.089	1	0	24	25	9	3	0	1	12	0	18	1	0	12	135
0.09	1	0	24	25	9	4	0	1	12	0	17	1	0	12	52
0.09	1	0	7	8	9	4	0	1	12	0	19	1	0	12	80
0.091	1	0	24	25	9	5	0	1	12	0	16	1	0	12	135
0.092	1	0	27	28	9	6	0	1	12	0	19	1	0	12	52
0.092	1	0	24	25	9	6	0	1	12	0	15	1	0	12	80
0.094	1	0	8	7	9	8	0	1	12	0	19	1	0	12	135
0.095	1	0	8	7	9	9	0	1	12	0	18	1	0	12	135
0.096	1	0	8	7	10	0	0	1	12	0	17	1	0	12	135
0.097	1	0	8	7	10	1	0	1	12	0	16	1	0	12	135
0.098	1	0	27	28	10	2	0	1	12	0	19	1	0	12	80
0.098	1	0	8	7	10	2	0	1	12	0	15	1	0	12	52
0.099	1	0	27	28	10	3	0	1	12	0	18	1	0	12	135
0.1	1	0	8	7	10	4	0	1	12	0	19	1	0	12	135
0.101	1	0	8	7	10	5	0	1	12	0	18	1	0	12	135
0.102	1	0	27	28	10	6	0	1	12	0	17	1	0	12	80
0.102	1	0	8	7	10	6	0	1	12	0	17	1	0	12	52
0.103	1	0	27	28	10	7	0	1	12	0	19	1	0	12	135
0.104	1	0	27	28	10	8	0	1	12	0	18	1	0	12	80
0.104	1	0	29	30	10	8	0	1	12	0	19	1	0	12	52
0.105	1	0	27	28	10	9	0	1	12	0	16	1	0	12	135
0.106	1	0	28	29	11	0	0	1	12	0	19	1	0	12	52
0.107	1	0	11	4	11	1	0	1	12	0	19	1	0	12	52
0.108	1	0	27	28	11	2	0	1	12	0	19	1	0	12	52
0.11	1	0	5	10	11	4	0	1	12	0	19	1	0	12	52
0.11	1	0	29	30	11	4	0	1	12	0	19	1	0	12	52
0.112	1	0	28	29	11	6	0	1	12	0	19	1	0	12	80
0.112	1	0	4	11	11	6	0	1	12	0	19	1	0	12	52
0.113	1	0	11	4	11	7	0	1	12	0	19	1	0	12	135
0.114	1	0	28	29	11	8	0	1	12	0	18	1	0	12	24
0.114	1	0	11	4	11	8	0	1	12	0	18	1	0	12	107
0.115	1	0	28	29	11	9	0	1	12	0	17	1	0	12	80
0.115	1	0	14	15	11	9	0	1	12	0	19	1	0	12	52
0.116	1	0	5	10	12	0	0	1	12	0	19	1	0	12	135
0.117	1	0	5	10	12	1	0	1	12	0	18	1	0	12	135
0.118	1	0	4	11	12	2	0	1	12	0	19	1	0	12	135
0.119	1	0	4	11	12	3	0	1	12	0	18	1	0	12	135
0.12	1	0	4	11	12	4	0	1	12	0	17	1	0	12	135
0.121	1	0	14	15	12	5	0	1	12	0	19	1	0	12	135
0.122	1	0	5	10	12	6	0	1	12	0	19	1	0	12	107
0.122	1	0	4	11	12	6	0	1	12	0	16	1	0	12	24
0.123	1	0	5	10	12	7	0	1	12	0	18	1	0	12	80
0.123	1	0	3	12	12	7	0	1	12	0	19	1	0	12	52
0.124	1	0	4	11	12	8	0	1	12	0	19	1	0	12	135
0.125	1	0	5	10	12	9	0	1	12	0	17	1	0	12	24
0.125	1	0	4	11	12	9	0	1	12	0	18	1	0	12	107
0.126	1	0	5	10	13	0	0	1	12	0	16	1	0	12	135
0.127	1	0	6	9	13	1	0	1	12	0	19	1	0	12	52
0.127	1	0	5	10	13	1	0	1	12	0	19	1	0	12	80
0.128	1	0	5	10	13	2	0	1	12	0	18	1	0	12	135
0.129	1	0	3	12	13	3	0	1	12	0	19	1	0	12	135
0.13	1	0	3	12	13	4	0	1	12	0	18	1	0	12	135
0.131	1	0	10	5	13	5	0	1	12	0	19	1	0	12	24
0.131	1	0	5	10	13	5	0	1	12	0	17	1	0	12	52
0.131	1	0	3	12	13	5	0	1	12	0	17	1	0	12	52
0.132	1	0	17	18	13	6	0	1	12	0	19	1	0	12	52
0.132	1	0	11	4	13	6	0	1	12	0	19	1	0	12	24
0.132	1	0	10	5	13	6	0	1	12	0	18	1	0	12	52
0.133	1	0	6	9	13	7	0	1	12	0	19	1	0	12	135
0.134	1	0	6	9	13	8	0	1	12	0	18	1	0	12	135
0.135	1	0	3	12	13	9	0	1	12	0	19	1	0	12	135
0.136	1	0	6	9	14	0	0	1	12	0	17	1	0	12	80
0.136	1	0	3	12	14	0	0	1	12	0	18	1	0	12	52
0.137	1	0	24	25	14	1	0	1	12	0	19	1	0	12	52
0.137	1	0	6	9	14	1	0	1	12	0	16	1	0	12	80
0.138	1	0	6	9	14	2	0	1	12	0	19	1	0	12	135
0.139	1	0	6	9	14	3	0	1	12	0	18	1	0	12	135
0.14	1	0	6	9	14	4	0	1	12	0	15	1	0	12	135
0.141	1	0	10	5	14	5	0	1	12	0	19	1	0	12	24
0.141	1	0	6	9	14	5	0	1	12	0	17	1	0	12	107
0.142	1	0	6	9	14	6	0	1	12	0	16	1	0	12	135
0.143	1	0	24	25	14	7	0	1	12	0	19	1	0	12	135
0.144	1	0	24	25	14	8	0	1	12	0	18	1	0	12	135
0.145	1	0	24	25	14	9	0	1	12	0	17	1	0	12	135
0.146	1	0	24	25	15	0	0	1	12	0	16	1	0	12	135
0.147	1	0	24	25	15	1	0	1	12	0	15	1	0	12	52
0.147	1	0	23	24	15	1	0	1	12	0	19	1	0	12	24
0.147	1	0	7	8	15	1	0	1	12	0	19	1	0	12	52
0.148	1	0	23	24	15	2	0	1	12	0	18	1	0	12	52
0.148	1	0	8	7	15	2	0	1	12	0	19	1	0	12	52
0.148	1	0	6	9	15	2	0	1	12	0	19	1	0	12	24
0.149	1	0	24	25	15	3	0	1	12	0	19	1	0	12	135
0.15	1	0	24	25	15	4	0	1	12	0	18	1	0	12	135
0.151	1	0	24	25	15	5	0	1	12	0	17	1	0	12	107
0.151	1	0	10	5	15	5	0	1	12	0	19	1	0	12	24
0.152	1	0	27	28	15	6	0	1	12	0	19	1	0	12	52
0.152	1	0	13	2	15	6	0	1	12	0	19	1	0	12	24
0.152	1	0	10	5	15	6	0	1	12	0	18	1	0	12	52
0.153	1	0	23	24	15	7	0	1	12	0	19	1	0	12	52
0.153	1	0	7	8	15	7	0	1	12	0	19	1	0	12	80
0.154	1	0	8	7	15	8	0	1	12	0	19	1	0	12	135
0.155	1	0	8	7	15	9	0	1	12	0	18	1	0	12	135
0.156	1	0	8	7	16	0	0	1	12	0	17	1	0	12	135
0.157	1	0	8	7	16	1	0	1	12	0	16	1	0	12	135
0.158	1	0	27	28	16	2	0	1	12	0	19	1	0	12	80
0.158	1	0	8	7	16	2	0	1	12	0	15	1	0	12	52
0.159	1	0	27	28	16	3	0	1	12	0	18	1	0	12	135
0.16	1	0	8	7	16	4	0	1	12	0	19	1	0	12	135
0.161	1	0	8	7	16	5	0	1	12	0	18	1	0	12	135
0.162	1	0	27	28	16	6	0	1	12	0	17	1	0	12	80
0.162	1	0	8	7	16	6	0	1	12	0	17	1	0	12	52
0.163	1	0	27	28	16	7	0	1	12	0	19	1	0	12	135
0.164	1	0	27	28	16	8	0	1	12	0	18	1	0	12	135
0.165	1	0	27	28	16	9	0	1	12	0	16	1	0	12	135
0.166	1	0	12	3	17	0	0	1	12	0	19	1	0	12	52
0.166	1	0	10	5	17	0	0	1	12	0	19	1	0	12	24
0.166	1	0	29	30	17	0	0	1	12	0	19	1	0	12	52
0.167	1	0	13	2	17	1	0	1	12	0	19	1	0	12	80
0.167	1	0	11	4	17	1	0	1	12	0	19	1	0	12	52
0.168	1	0	27	28	17	2	0	1	12	0	19	1	0	12	52
0.168	1	0	13	2	17	2	0	1	12	0	18	1	0	12	80
0.169	1	0	13	2	17	3	0	1	12	0	17	1	0	12	135
0.17	1	0	13	2	17	4	0	1	12	0	16	1	0	12	80
0.17	1	0	5	10	17	4	0	1	12	0	19	1	0	12	52
0.171	1	0	13	2	17	5	0	1	12	0	15	1	0	12	135
0.172	1	0	12	3	17	6	0	1	12	0	19	1	0	12	24
0.172	1	0	4	11	17	6	0	1	12	0	19	1	0	12	52
0.172	1	0	29	30	17	6	0	1	12	0	19	1	0	12	52
0.173	1	0	11	4	17	7	0	1	12	0	19	1	0	12	135
0.174	1	0	12	3	17	8	0	1	12	0	18	1	0	12	24
0.174	1	0	11	4	17	8	0	1	12	0	18	1	0	12	107
0.175	1	0	12	3	17	9	0	1	12	0	17	1	0	12	135
0.176	1	0	5	10	18	0	0	1	12	0	19	1	0	12	135
0.177	1	0	5	10	18	1	0	1	12	0	18	1	0	12	135
0.178	1	0	5	10	18	2	0	1	12	0	17	1	0	12	135
0.179	1	0	5	10	18	3	0	1	12	0	16	1	0	12	135
0.18	1	0	10	5	18	4	0	1	12	0	19	1	0	12	52
0.18	1	0	5	10	18	4	0	1	12	0	15	1	0	12	52
0.18	1	0	4	11	18	4	0	1	12	0	19	1	0	12	24
0.181	1	0	4	11	18	5	0	1	12	0	18	1	0	12	135
0.182	1	0	5	10	18	6	0	1	12	0	19	1	0	12	135
0.183	1	0	5	10	18	7	0	1	12	0	18	1	0	12	135
0.184	1	0	5	10	18	8	0	1	12	0	17	1	0	12	135
0.185	1	0	4	11	18	9	0	1	12	0	19	1	0	12	135
0.186	1	0	10	5	19	0	0	1	12	0	19	1	0	12	107
0.186	1	0	4	11	19	0	0	1	12	0	18	1	0	12	24
0.187	1	0	6	9	19	1	0	1	12	0	19	1	0	12	52
0.187	1	0	4	11	19	1	0	1	12	0	17	1	0	12	80
0.188	1	0	4	11	19	2	0	1	12	0	16	1	0	12	135
0.189	1	0	12	3	19	3	0	1	12	0	19	1	0	12	24
0.189	1	0	11	4	19	3	0	1	12	0	19	1	0	12	24
0.189	1	0	9	6	19	3	0	1	12	0	19	1	0	12	52
0.189	1	0	4	11	19	3	0	1	12	0	15	1	0	12	24
0.19	1	0	12	3	19	4	0	1	12	0	18	1	0	12	80
0.19	1	0	2	13	19	4	0	1	12	0	19	1	0	12	52
0.191	1	0	12	3	19	5	0	1	12	0	17	1	0	12	52
0.191	1	0	4	11	19	5	0	1	12	0	19	1	0	12	80
0.192	1	0	12	3	19	6	0	1	12	0	16	1	0	12	80
0.192	1	0	4	11	19	6	0	1	12	0	18	1	0	12	52
0.193	1	0	6	9	19	7	0	1	12	0	19	1	0	12	135
0.194	1	0	6	9	19	8	0	1	12	0	18	1	0	12	135
0.195	1	0	6	9	19	9	0	1	12	0	17	1	0	12	135
0.196	1	0	6	9	20	0	0	1	12	0	16	1	0	12	135
0.197	1	0	19	20	20	1	0	1	12	0	19	1	0	12	24
0.197	1	0	16	17	20	1	0	1	12	0	19	1	0	12	24
0.197	1	0	15	16	20	1	0	1	12	0	19	1	0	12	24
0.197	1	0	6	9	20	1	0	1	12	0	15	1	0	12	52
0.198	1	0	2	13	20	2	0	1	12	0	19	1	0	12	135
0.199	1	0	6	9	20	3	0	1	12	0	19	1	0	12	135
0.2	1	0	6	9	20	4	0	1	12	0	18	1	0	12	135
0.201	1	0	15	16	20	5	0	1	12	0	18	1	0	12	24
0.201	1	0	6	9	20	5	0	1	12	0	17	1	0	12	107
0.202	1	0	2	13	20	6	0	1	12	0	18	1	0	12	135
0.203	1	0	18	19	20	7	0	1	12	0	19	1	0	12	52
0.203	1	0	17	18	20	7	0	1	12	0	19	1	0	12	52
0.203	1	0	2	13	20	7	0	1	12	0	19	1	0	12	24
0.204	1	0	2	13	20	8	0	1	12	0	17	1	0	12	135
0.205	1	0	9	6	20	9	0	1	12	0	19	1	0	12	80
0.205	1	0	2	13	20	9	0	1	12	0	16	1	0	12	52
0.206	1	0	9	6	21	0	0	1	12	0	18	1	0	12	135
0.207	1	0	12	3	21	1	0	1	12	0	19	1	0	12	24
0.207	1	0	9	6	21	1	0	1	12	0	17	1	0	12	107
0.208	1	0	1	14	21	2	0	1	12	0	19	1	0	12	24
0.208	1	0	30	1	21	2	0	1	12	0	19	1	0	12	52
0.208	1	0	13	2	21	2	0	1	12	0	19	1	0	12	52
0.209	1	0	15	16	21	3	0	1	12	0	19	1	0	12	80
0.209	1	0	1	14	21	3	0	1	12	0	18	1	0	12	52
0.21	1	0	15	16	21	4	0	1	12	0	18	1	0	12	135
0.211	1	0	9	6	21	5	0	1	12	0	19	1	0	12	135
0.212	1	0	15	16	21	6	0	1	12	0	17	1	0	12	107
0.212	1	0	9	6	21	6	0	1	12	0	18	1	0	12	24
0.213	1	0	15	16	21	7	0	1	12	0	16	1	0	12	135
0.214	1	0	13	2	21	8	0	1	12	0	19	1	0	12	135
0.215	1	0	13	2	21	9	0	1	12	0	18	1	0	12	135
0.216	1	0	13	2	22	0	0	1	12	0	17	1	0	12	135
0.217	1	0	13	2	22	1	0	1	12	0	16	1	0	12	135
0.218	1	0	30	1	22	2	0	1	12	0	19	1	0	12	80
0.218	1	0	13	2	22	2	0	1	12	0	15	1	0	12	52
0.219	1	0	30	1	22	3	0	1	12	0	18	1	0	12	135
0.22	1	0	13	2	22	4	0	1	12	0	19	1	0	12	135
0.221	1	0	13	2	22	5	0	1	12	0	18	1	0	12	135
0.222	1	0	13	2	22	6	0	1	12	0	17	1	0	12	135
0.223	1	0	30	1	22	7	0	1	12	0	19	1	0	12	80
0.223	1	0	12	3	22	7	0	1	12	0	19	1	0	12	52
0.224	1	0	30	1	22	8	0	1	12	0	18	1	0	12	135
0.225	1	0	30	1	22	9	0	1	12	0	17	1	0	12	135
0.226	1	0	1	14	23	0	0	1	12	0	19	1	0	12	24
0.226	1	0	30	1	23	0	0	1	12	0	16	1	0	12	107
0.227	1	0	1	14	23	1	0	1	12	0	18	1	0	12	135
0.228	1	0	1	14	23	2	0	1	12	0	17	1	0	12	135
0.229	1	0	12	3	23	3	0	1	12	0	19	1	0	12	135
0.23	1	0	12	3	23	4	0	1	12	0	18	1	0	12	135
0.231	1	0	27	28	23	5	0	1	12	0	19	1	0	12	52
0.231	1	0	12	3	23	5	0	1	12	0	17	1	0	12	80
0.232	1	0	30	1	23	6	0	1	12	0	19	1	0	12	52
0.232	1	0	12	3	23	6	0	1	12	0	16	1	0	12	80
0.233	1	0	30	1	23	7	0	1	12	0	18	1	0	12	135
0.234	1	0	30	1	23	8	0	1	12	0	17	1	0	12	135
0.235	1	0	12	3	23	9	0	1	12	0	19	1	0	12	135
0.236	1	0	12	3	24	0	0	1	12	0	18	1	0	12	135
0.237	1	0	27	28	24	1	0	1	12	0	19	1	0	12	135
0.238	1	0	27	28	24	2	0	1	12	0	18	1	0	12	135
0.239	1	0	27	28	24	3	0	1	12	0	17	1	0	12	135
0.24	1	0	27	28	24	4	0	1	12	0	16	1	0	12	24
0.24	1	0	30	1	24	4	0	1	12	0	19	1	0	12	24
0.24	1	0	12	3	24	4	0	1	12	0	19	1	0	12	24
0.24	1	0	9	6	24	4	0	1	12	0	19	1	0	12	52
0.241	1	0	1	14	24	5	0	1	12	0	19	1	0	12	135
0.242	1	0	1	14	24	6	0	1	12	0	18	1	0	12	135
0.243	1	0	27	28	24	7	0	1	12	0	19	1	0	12	135
0.244	1	0	27	28	24	8	0	1	12	0	18	1	0	12	80
0.244	1	0	1	14	24	8	0	1	12	0	17	1	0	12	52
0.245	1	0	15	16	24	9	0	1	12	0	19	1	0	12	24
0.245	1	0	1	14	24	9	0	1	12	0	16	1	0	12	107
0.246	1	0	9	6	25	0	0	1	12	0	19	1	0	12	135
0.247	1	0	9	6	25	1	0	1	12	0	18	1	0	12	135
0.248	1	0	1	14	25	2	0	1	12	0	19	1	0	12	80
0.248	1	0	9	6	25	2	0	1	12	0	17	1	0	12	52
0.249	1	0	16	17	25	3	0	1	12	0	19	1	0	12	24
0.249	1	0	15	16	25	3	0	1	12	0	18	1	0	12	52
0.249	1	0	1	14	25	3	0	1	12	0	18	1	0	12	52
0.25	1	0	1	14	25	4	0	1	12	0	17	1	0	12	80
0.25	1	0	2	13	25	4	0	1	12	0	19	1	0	12	52
0.251	1	0	15	16	25	5	0	1	12	0	19	1	0	12	107
0.251	1	0	1	14	25	5	0	1	12	0	16	1	0	12	24
0.252	1	0	9	6	25	6	0	1	12	0	19	1	0	12	135
0.253	1	0	15	16	25	7	0	1	12	0	17	1	0	12	135
0.254	1	0	15	16	25	8	0	1	12	0	18	1	0	12	135
0.255	1	0	15	16	25	9	0	1	12	0	16	1	0	12	135
0.256	1	0	2	13	26	0	0	1	12	0	19	1	0	12	135
0.257	1	0	2	13	26	1	0	1	12	0	18	1	0	12	135
0.258	1	0	15	16	26	2	0	1	12	0	19	1	0	12	80
0.258	1	0	2	13	26	2	0	1	12	0	17	1	0	12	52
0.259	1	0	15	16	26	3	0	1	12	0	18	1	0	12	135
0.26	1	0	15	16	26	4	0	1	12	0	17	1	0	12	135
0.261	1	0	16	17	26	5	0	1	12	0	19	1	0	12	107
0.261	1	0	15	16	26	5	0	1	12	0	16	1	0	12	24
0.262	1	0	2	13	26	6	0	1	12	0	19	1	0	12	135
0.263	1	0	16	17	26	7	0	1	12	0	18	1	0	12	107
0.263	1	0	2	13	26	7	0	1	12	0	18	1	0	12	24
0.264	1	0	16	17	26	8	0	1	12	0	17	1	0	12	135
0.265	1	0	17	18	26	9	0	1	12	0	19	1	0	12	52
0.265	1	0	16	17	26	9	0	1	12	0	16	1	0	12	80
0.266	1	0	17	18	27	0	0	1	12	0	18	1	0	12	135
0.267	1	0	16	17	27	1	0	1	12	0	19	1	0	12	135
0.268	1	0	16	17	27	2	0	1	12	0	18	1	0	12	135
0.269	1	0	16	17	27	3	0	1	12	0	17	1	0	12	135
0.27	1	0	17	18	27	4	0	1	12	0	19	1	0	12	52
0.27	1	0	16	17	27	4	0	1	12	0	16	1	0	12	80
0.271	1	0	17	18	27	5	0	1	12	0	18	1	0	12	135
0.272	1	0	17	18	27	6	0	1	12	0	17	1	0	12	135
0.273	1	0	17	18	27	7	0	1	12	0	16	1	0	12	135
0.274	1	0	17	18	27	8	0	1	12	0	15	1	0	12	135
0.275	1	0	17	18	27	9	0	1	12	0	19	1	0	12	135
0.276	1	0	17	18	28	0	0	1	12	0	18	1	0	12	135
0.277	1	0	17	18	28	1	0	1	12	0	17	1	0	12	135
0.278	1	0	17	18	28	2	0	1	12	0	16	1	0	12	135
0.279	1	0	17	18	28	3	0	1	12	0	15	1	0	12	135
0.28	1	0	17	18	28	4	0	1	12	0	19	1	0	12	135
0.281	1	0	18	19	28	5	0	1	12	0	19	1	0	12	107
0.281	1	0	17	18	28	5	0	1	12	0	18	1	0	12	24
0.282	1	0	18	19	28	6	0	1	12	0	18	1	0	12	135
