time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.0660286	2	15	3	139	0.0147256
0.0760286	2	12	3	313	0.0163546
0.0880286	2	24	3	33	0.00829956
0.0920286	2	25	3	473	0.0186556
0.0950286	2	8	3	81	0.0146946
0.102029	2	7	3	438	0.0172376
0.108029	2	28	3	335	0.0194736
0.115029	2	30	3	58	0.0150086
0.119029	2	4	3	186	0.0157866
0.125029	2	11	3	356	0.0161406
0.126029	2	15	3	139	0.0147256
0.131029	2	10	3	497	0.0241106
0.136029	2	12	3	313	0.0163546
0.143029	2	9	3	476	0.0194966
0.151029	2	25	3	473	0.0176556
0.153029	2	24	3	33	0.0132996
0.157029	2	5	3	97	0.0408586
0.158029	2	8	3	81	0.0176946
0.162029	2	7	3	438	0.0172376
0.168029	2	28	3	335	0.0194736
0.177029	2	30	3	58	0.0170086
0.179029	2	4	3	186	0.0157866
0.184029	2	10	3	497	0.0171106
0.191029	2	5	3	97	0.0148586
0.192029	2	11	3	356	0.0231406
0.197029	2	3	3	369	0.0376216
0.201029	2	9	3	476	0.0174966
0.207029	2	13	3	286	0.0208596
0.212029	2	6	3	247	0.0389366
0.213029	2	2	3	494	0.0715246
0.222029	2	2	3	494	0.0205246
0.229029	2	1	3	429	0.0646896
0.237029	2	3	3	369	0.0176216
0.239029	2	1	3	429	0.0146896
0.244029	2	28	3	335	0.0164736
0.246029	2	14	3	333	0.110514
0.250029	2	14	3	333	0.0545136
0.252029	2	6	3	247	0.0189366
0.254029	2	16	3	486	0.0919806
0.262029	2	13	3	286	0.0158596
0.263029	2	16	3	486	0.0409806
0.268029	2	17	3	195	0.130818
0.270029	2	17	3	195	0.0728176
0.277029	2	18	3	447	0.152366
0.280029	2	18	3	447	0.0953656
0.288029	2	19	3	368	0.113647
0.291029	2	20	3	252	0.112844
0.294029	2	19	3	368	0.0596466
0.301029	2	20	3	252	0.0628436
0.306029	2	29	3	389	0.213499
0.310029	2	21	3	476	0.184198
0.314029	2	21	3	476	0.128198
0.323029	2	28	3	335	0.0164736
0.325029	2	22	3	309	0.136303
0.329029	2	22	3	309	0.0803026
0.332029	2	23	3	52	0.173249
0.333029	2	23	3	52	0.114249
0.335029	2	26	3	270	0.135036
0.337029	2	26	3	270	0.0770356
0.344029	2	27	3	228	0.150116
0.346029	2	27	3	228	0.0921156
0.353029	2	29	3	389	0.200499
0.357029	2	5	3	97	0.0148586
0.371029	2	1	3	429	0.0176896
0.402029	2	28	3	335	0.0164736
0.481029	2	28	3	335	0.0164736
0.500029	2	1	3	429	0.0176896
0.523029	2	5	3	97	0.0148586
0.560029	2	28	3	335	0.0164736
0.629029	2	1	3	429	0.0176896
0.639029	2	28	3	335	0.0164736
0.689029	2	5	3	97	0.0148586
0.705029	2	15	3	139	0.0147256
0.718029	2	28	3	335	0.0164736
0.758029	2	1	3	429	0.0176896
0.797029	2	28	3	335	0.0164736
0.855029	2	5	3	97	0.0148586
0.876029	2	28	3	335	0.0164736
0.887029	2	1	3	429	0.0176896
0.916029	2	24	3	33	0.00829956
0.921029	2	22	3	309	0.0163026
0.955029	2	28	3	335	0.0164736
1.01603	2	1	3	429	0.0176896
1.02303	2	5	3	97	0.0168586
1.03403	2	28	3	335	0.0164736
1.11303	2	28	3	335	0.0164736
1.14503	2	1	3	429	0.0176896
1.18703	2	5	3	97	0.0148586
1.19203	2	28	3	335	0.0164736
1.27103	2	28	3	335	0.0164736
1.27603	2	1	3	429	0.0196896
1.28603	2	15	3	139	0.0167256
1.35003	2	28	3	335	0.0164736
1.35303	2	5	3	97	0.0148586
1.40303	2	1	3	429	0.0176896
1.42903	2	28	3	335	0.0164736
1.50803	2	28	3	335	0.0164736
1.51903	2	5	3	97	0.0148586
1.53203	2	1	3	429	0.0176896
1.57703	2	22	3	309	0.0163026
1.58703	2	28	3	335	0.0164736
1.62903	2	7	3	438	0.0172376
1.66103	2	1	3	429	0.0176896
1.66603	2	28	3	335	0.0164736
1.68403	2	24	3	33	0.00829956
1.68503	2	5	3	97	0.0148586
1.74503	2	28	3	335	0.0164736
1.75503	2	18	3	447	0.0193656
1.77503	2	30	3	58	0.0150086
1.79003	2	1	3	429	0.0176896
1.80903	2	17	3	195	0.0158176
1.82403	2	28	3	335	0.0164736
1.85103	2	5	3	97	0.0148586
1.86303	2	15	3	139	0.0147256
1.90303	2	28	3	335	0.0164736
1.91903	2	1	3	429	0.0176896
1.98203	2	28	3	335	0.0164736
2.00503	2	20	3	252	0.0158436
2.01703	2	5	3	97	0.0148586
2.04803	2	1	3	429	0.0176896
2.06103	2	28	3	335	0.0164736
2.10603	2	3	3	369	0.0166216
2.14003	2	28	3	335	0.0164736
2.17703	2	1	3	429	0.0176896
2.18403	2	5	3	97	0.0158586
2.21903	2	28	3	335	0.0164736
2.23303	2	22	3	309	0.0163026
2.29803	2	28	3	335	0.0164736
2.30803	2	1	3	429	0.0196896
2.34903	2	5	3	97	0.0148586
2.37703	2	28	3	335	0.0164736
2.43503	2	1	3	429	0.0176896
2.44203	2	15	3	139	0.0147256
2.45203	2	24	3	33	0.00829956
2.45603	2	28	3	335	0.0164736
2.51503	2	5	3	97	0.0148586
2.53003	2	23	3	52	0.0142486
2.53503	2	28	3	335	0.0164736
2.54503	2	25	3	473	0.0196556
2.56403	2	1	3	429	0.0176896
2.61403	2	28	3	335	0.0164736
2.68103	2	5	3	97	0.0148586
2.69303	2	28	3	335	0.0164736
2.69603	2	1	3	429	0.0206896
2.77203	2	28	3	335	0.0164736
2.82203	2	1	3	429	0.0176896
2.84703	2	5	3	97	0.0148586
2.85103	2	28	3	335	0.0164736
2.88903	2	22	3	309	0.0163026
2.93003	2	28	3	335	0.0164736
2.95103	2	1	3	429	0.0176896
2.98503	2	14	3	333	0.0165136
2.99603	2	8	3	81	0.0156946
3.00903	2	28	3	335	0.0164736
3.01603	2	5	3	97	0.0178586
3.02103	2	15	3	139	0.0147256
3.06303	2	19	3	368	0.0166466
3.08003	2	1	3	429	0.0176896
3.08803	2	28	3	335	0.0164736
3.09803	2	7	3	438	0.0192376
3.16103	2	4	3	186	0.0157866
3.16703	2	28	3	335	0.0164736
3.17903	2	5	3	97	0.0148586
3.19803	2	16	3	486	0.0179806
3.20903	2	1	3	429	0.0176896
3.22003	2	24	3	33	0.00829956
3.24603	2	28	3	335	0.0164736
3.30403	2	18	3	447	0.0173656
3.31203	2	26	3	270	0.0190356
3.32503	2	28	3	335	0.0164736
3.33903	2	1	3	429	0.0186896
3.34603	2	5	3	97	0.0158586
3.37503	2	30	3	58	0.0150086
3.40403	2	28	3	335	0.0164736
3.40603	2	17	3	195	0.0168176
3.46703	2	1	3	429	0.0176896
3.48303	2	28	3	335	0.0164736
3.51103	2	5	3	97	0.0148586
3.54503	2	22	3	309	0.0163026
3.56203	2	28	3	335	0.0164736
3.59603	2	1	3	429	0.0176896
3.60303	2	15	3	139	0.0177256
3.64103	2	28	3	335	0.0164736
3.67703	2	5	3	97	0.0148586
3.72003	2	28	3	335	0.0164736
3.72603	2	1	3	429	0.0186896
3.75603	2	20	3	252	0.0158436
3.79903	2	28	3	335	0.0164736
3.84303	2	5	3	97	0.0148586
3.85403	2	1	3	429	0.0176896
3.87503	2	29	3	389	0.0164986
3.87803	2	28	3	335	0.0164736
3.95103	2	2	3	494	0.0185246
3.95203	2	27	3	228	0.0201156
3.95703	2	28	3	335	0.0164736
3.97703	2	3	3	369	0.0176216
3.98303	2	1	3	429	0.0176896
3.98803	2	24	3	33	0.00829956
4.00903	2	5	3	97	0.0148586
4.03603	2	28	3	335	0.0164736
4.09103	2	13	3	286	0.0158596
4.11203	2	1	3	429	0.0176896
4.11503	2	28	3	335	0.0164736
4.17503	2	5	3	97	0.0148586
4.17803	2	12	3	313	0.0173546
4.17903	2	15	3	139	0.0147256
4.19403	2	28	3	335	0.0164736
4.20303	2	22	3	309	0.0183026
4.24103	2	1	3	429	0.0176896
4.27303	2	28	3	335	0.0164736
4.34103	2	5	3	97	0.0148586
4.35203	2	28	3	335	0.0164736
4.37003	2	1	3	429	0.0176896
4.41103	2	10	3	497	0.0171106
4.43103	2	28	3	335	0.0164736
4.46903	2	6	3	247	0.0159366
4.49903	2	1	3	429	0.0176896
4.50703	2	5	3	97	0.0148586
4.51003	2	28	3	335	0.0164736
4.56303	2	7	3	438	0.0172376
4.58903	2	28	3	335	0.0164736
4.62803	2	1	3	429	0.0176896
4.66803	2	28	3	335	0.0164736
4.67503	2	5	3	97	0.0168586
4.74703	2	28	3	335	0.0164736
4.75703	2	1	3	429	0.0176896
4.75903	2	24	3	33	0.0112996
4.75903	2	15	3	139	0.0157256
4.82603	2	28	3	335	0.0164736
4.82703	2	23	3	52	0.0142486
4.83603	2	21	3	476	0.0191976
4.83903	2	5	3	97	0.0148586
4.85703	2	18	3	447	0.0193656
4.85703	2	22	3	309	0.0163026
4.88603	2	1	3	429	0.0176896
4.90503	2	28	3	335	0.0164736
4.93503	2	25	3	473	0.0176556
4.97503	2	30	3	58	0.0150086
4.98403	2	28	3	335	0.0164736
5.00103	2	17	3	195	0.0158176
5.00503	2	5	3	97	0.0148586
5.01503	2	1	3	429	0.0176896
5.06303	2	28	3	335	0.0164736
5.09203	2	9	3	476	0.0174966
5.10503	2	11	3	356	0.0171406
5.14203	2	28	3	335	0.0164736
5.14703	2	1	3	429	0.0206896
5.17103	2	5	3	97	0.0148586
5.22103	2	28	3	335	0.0164736
5.27303	2	1	3	429	0.0176896
5.30003	2	28	3	335	0.0164736
5.33703	2	5	3	97	0.0148586
5.33803	2	15	3	139	0.0157256
5.37903	2	28	3	335	0.0164736
5.40203	2	1	3	429	0.0176896
5.45803	2	28	3	335	0.0164736
5.50303	2	5	3	97	0.0148586
5.50703	2	20	3	252	0.0158436
5.51303	2	22	3	309	0.0163026
5.52403	2	24	3	33	0.00829956
5.53103	2	1	3	429	0.0176896
5.53703	2	28	3	335	0.0164736
5.61603	2	28	3	335	0.0164736
5.66003	2	1	3	429	0.0176896
5.67103	2	5	3	97	0.0168586
5.69503	2	28	3	335	0.0164736
5.75803	2	14	3	333	0.0165136
5.77403	2	28	3	335	0.0164736
5.78903	2	1	3	429	0.0176896
5.83503	2	5	3	97	0.0148586
5.83603	2	8	3	81	0.0156946
5.84703	2	3	3	369	0.0176216
5.85303	2	28	3	335	0.0164736
5.87503	2	19	3	368	0.0166466
5.91803	2	1	3	429	0.0176896
5.92003	2	15	3	139	0.0187256
5.93203	2	28	3	335	0.0164736
6.00103	2	5	3	97	0.0148586
6.01103	2	28	3	335	0.0164736
6.03003	2	7	3	438	0.0172376
6.04703	2	1	3	429	0.0176896
6.09003	2	28	3	335	0.0164736
6.14303	2	4	3	186	0.0157866
6.15603	2	16	3	486	0.0179806
6.16903	2	28	3	335	0.0164736
6.17103	2	5	3	97	0.0188586
6.17503	2	22	3	309	0.0223026
6.17903	2	1	3	429	0.0206896
