time(s)	cellId	rnti	lcid	packetSize
0.051303	2	15	3	139
0.059674	2	12	3	313
0.073373	2	25	3	473
0.079729	2	24	3	33
0.080334	2	8	3	81
0.084791	2	7	3	438
0.088555	2	28	3	335
0.09253	2	29	3	389
0.10002	2	30	3	58
0.103242	2	4	3	186
0.106918	2	10	3	497
0.108888	2	11	3	356
0.111303	2	15	3	139
0.11617	2	5	3	97
0.119674	2	12	3	313
0.123532	2	9	3	476
0.124663	2	18	3	447
0.125831	2	21	3	476
0.133373	2	25	3	473
0.135515	2	14	3	333
0.137211	2	17	3	195
0.139729	2	24	3	33
0.140334	2	8	3	81
0.141504	2	2	3	494
0.144791	2	7	3	438
0.148555	2	28	3	335
0.15253	2	29	3	389
0.15878	2	23	3	52
0.159407	2	3	3	369
0.16002	2	30	3	58
0.162048	2	16	3	486
0.163242	2	4	3	186
0.164339	2	1	3	429
0.166918	2	10	3	497
0.168888	2	11	3	356
0.173092	2	6	3	247
0.174382	2	19	3	368
0.17617	2	5	3	97
0.178185	2	20	3	252
0.183532	2	9	3	476
0.184663	2	18	3	447
0.185831	2	21	3	476
0.186169	2	13	3	286
0.188726	2	22	3	309
0.193913	2	27	3	228
0.195515	2	14	3	333
0.197211	2	17	3	195
0.199993	2	26	3	270
0.201504	2	2	3	494
0.21878	2	23	3	52
0.219407	2	3	3	369
0.222048	2	16	3	486
0.224339	2	1	3	429
0.227555	2	28	3	335
0.233092	2	6	3	247
0.234382	2	19	3	368
0.238185	2	20	3	252
0.246169	2	13	3	286
0.248726	2	22	3	309
0.253913	2	27	3	228
0.259993	2	26	3	270
0.306555	2	28	3	335
0.34217	2	5	3	97
0.353339	2	1	3	429
0.385555	2	28	3	335
0.464555	2	28	3	335
0.482339	2	1	3	429
0.50817	2	5	3	97
0.543555	2	28	3	335
0.611339	2	1	3	429
0.622555	2	28	3	335
0.67417	2	5	3	97
0.690303	2	15	3	139
0.701555	2	28	3	335
0.740339	2	1	3	429
0.780555	2	28	3	335
0.84017	2	5	3	97
0.859555	2	28	3	335
0.869339	2	1	3	429
0.904726	2	22	3	309
0.907729	2	24	3	33
0.938555	2	28	3	335
0.998339	2	1	3	429
1.00617	2	5	3	97
1.01755	2	28	3	335
1.09655	2	28	3	335
1.12734	2	1	3	429
1.17217	2	5	3	97
1.17555	2	28	3	335
1.25456	2	28	3	335
1.25634	2	1	3	429
1.2693	2	15	3	139
1.33356	2	28	3	335
1.33817	2	5	3	97
1.38534	2	1	3	429
1.41256	2	28	3	335
1.49155	2	28	3	335
1.50417	2	5	3	97
1.51434	2	1	3	429
1.56073	2	22	3	309
1.57055	2	28	3	335
1.61179	2	7	3	438
1.64334	2	1	3	429
1.64956	2	28	3	335
1.67017	2	5	3	97
1.67573	2	24	3	33
1.72856	2	28	3	335
1.73566	2	18	3	447
1.76002	2	30	3	58
1.77234	2	1	3	429
1.79321	2	17	3	195
1.80756	2	28	3	335
1.83617	2	5	3	97
1.8483	2	15	3	139
1.88655	2	28	3	335
1.90134	2	1	3	429
1.96555	2	28	3	335
1.98918	2	20	3	252
2.00217	2	5	3	97
2.03034	2	1	3	429
2.04455	2	28	3	335
2.08941	2	3	3	369
2.12356	2	28	3	335
2.15934	2	1	3	429
2.16817	2	5	3	97
2.20255	2	28	3	335
2.21673	2	22	3	309
2.28155	2	28	3	335
2.28834	2	1	3	429
2.33417	2	5	3	97
2.36056	2	28	3	335
2.41734	2	1	3	429
2.4273	2	15	3	139
2.43955	2	28	3	335
2.44373	2	24	3	33
2.50017	2	5	3	97
2.51578	2	23	3	52
2.51856	2	28	3	335
2.52537	2	25	3	473
2.54634	2	1	3	429
2.59755	2	28	3	335
2.66617	2	5	3	97
2.67534	2	1	3	429
2.67656	2	28	3	335
2.75556	2	28	3	335
2.80434	2	1	3	429
2.83217	2	5	3	97
2.83455	2	28	3	335
2.87273	2	22	3	309
2.91356	2	28	3	335
2.93334	2	1	3	429
2.96852	2	14	3	333
2.98033	2	8	3	81
2.99255	2	28	3	335
2.99817	2	5	3	97
3.0063	2	15	3	139
3.04638	2	19	3	368
3.06234	2	1	3	429
3.07156	2	28	3	335
3.07879	2	7	3	438
3.14524	2	4	3	186
3.15056	2	28	3	335
3.16417	2	5	3	97
3.18005	2	16	3	486
3.19134	2	1	3	429
3.21173	2	24	3	33
3.22955	2	28	3	335
3.28666	2	18	3	447
3.29299	2	26	3	270
3.30856	2	28	3	335
3.32034	2	1	3	429
3.33017	2	5	3	97
3.36002	2	30	3	58
3.38755	2	28	3	335
3.38921	2	17	3	195
3.44934	2	1	3	429
3.46656	2	28	3	335
3.49617	2	5	3	97
3.52873	2	22	3	309
3.54555	2	28	3	335
