time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.0600286	2	15	3	44	0.00295714
0.0660286	2	15	3	99	0.00295714
0.0680286	2	12	3	44	0.00295714
0.0740286	2	12	3	127	0.00295714
0.0750286	2	12	3	127	0.00295714
0.0760286	2	12	3	23	0.00295714
0.0820286	2	25	3	44	0.00295714
0.0880286	2	24	3	35	0.00295714
0.0880286	2	25	3	72	0.00295714
0.0890286	2	8	3	44	0.00295714
0.0890286	2	25	3	72	0.00295714
0.0900286	2	25	3	127	0.00295714
0.0910286	2	25	3	127	0.00295714
0.0920286	2	25	3	43	0.00295714
0.0930286	2	7	3	44	0.00295714
0.0950286	2	8	3	41	0.00295714
0.0970286	2	28	3	44	0.00295714
0.0990286	2	7	3	127	0.00295714
0.100029	2	7	3	127	0.00295714
0.101029	2	7	3	127	0.00295714
0.102029	2	7	3	23	0.00295714
0.103029	2	28	3	72	0.00295714
0.104029	2	28	3	127	0.00295714
0.107029	2	28	3	72	0.00295714
0.108029	2	28	3	30	0.00295714
0.109029	2	30	3	44	0.00295714
0.111029	2	29	3	44	0.00295714
0.112029	2	4	3	44	0.00295714
0.115029	2	10	3	44	0.00295714
0.115029	2	30	3	18	0.00295714
0.117029	2	11	3	44	0.00295714
0.117029	2	29	3	72	0.00295714
0.118029	2	4	3	127	0.00295714
0.119029	2	29	3	16	0.00295714
0.119029	2	4	3	21	0.00295714
0.120029	2	15	3	44	0.00295714
0.120029	2	29	3	72	0.00295714
0.121029	2	10	3	127	0.00295714
0.122029	2	10	3	127	0.00295714
0.123029	2	11	3	127	0.00295714
0.124029	2	11	3	127	0.00295714
0.125029	2	11	3	66	0.00295714
0.126029	2	15	3	99	0.00295714
0.127029	2	10	3	99	0.00295714
0.128029	2	12	3	44	0.00295714
0.128029	2	10	3	72	0.00295714
0.130029	2	10	3	16	0.00295714
0.131029	2	10	3	26	0.00295714
0.132029	2	9	3	44	0.00295714
0.134029	2	12	3	127	0.00295714
0.135029	2	12	3	127	0.00295714
0.136029	2	5	3	16	0.00295714
0.136029	2	12	3	23	0.00295714
0.137029	2	18	3	44	0.00295714
0.137029	2	5	3	44	0.00295714
0.138029	2	9	3	127	0.00295714
0.139029	2	9	3	127	0.00295714
0.141029	2	9	3	72	0.00295714
0.142029	2	25	3	44	0.00295714
0.142029	2	9	3	72	0.00295714
0.143029	2	9	3	46	0.00295714
0.146029	2	5	3	16	0.00295714
0.148029	2	25	3	127	0.00295714
0.149029	2	25	3	127	0.00295714
0.150029	2	25	3	127	0.00295714
0.151029	2	25	3	58	0.00295714
0.152029	2	24	3	16	0.00295714
0.152029	2	8	3	44	0.00295714
0.153029	2	7	3	44	0.00295714
0.153029	2	24	3	21	0.00295714
0.156029	2	5	3	16	0.00295714
0.157029	2	2	3	16	0.00295714
0.157029	2	28	3	44	0.00295714
0.157029	2	5	3	15	0.00295714
0.158029	2	8	3	41	0.00295714
0.159029	2	7	3	127	0.00295714
0.160029	2	7	3	127	0.00295714
0.161029	2	7	3	127	0.00295714
0.162029	2	7	3	23	0.00295714
0.163029	2	28	3	72	0.00295714
0.164029	2	28	3	127	0.00295714
0.167029	2	28	3	72	0.00295714
0.168029	2	28	3	30	0.00295714
0.171029	2	3	3	44	0.00295714
0.171029	2	30	3	44	0.00295714
0.172029	2	4	3	44	0.00295714
0.172029	2	2	3	72	0.00295714
0.173029	2	2	3	72	0.00295714
0.174029	2	2	3	127	0.00295714
0.175029	2	10	3	44	0.00295714
0.175029	2	2	3	72	0.00295714
0.176029	2	2	3	127	0.00295714
0.177029	2	11	3	44	0.00295714
0.177029	2	3	3	16	0.00295714
0.177029	2	30	3	18	0.00295714
0.178029	2	4	3	127	0.00295714
0.179029	2	3	3	16	0.00295714
0.179029	2	4	3	21	0.00295714
0.180029	2	3	3	127	0.00295714
0.181029	2	10	3	127	0.00295714
0.182029	2	10	3	127	0.00295714
0.183029	2	10	3	127	0.00295714
0.184029	2	10	3	82	0.00295714
0.185029	2	5	3	44	0.00295714
0.185029	2	11	3	16	0.00295714
0.186029	2	11	3	127	0.00295714
0.190029	2	11	3	127	0.00295714
0.191029	2	5	3	57	0.00295714
0.191029	2	11	3	16	0.00295714
0.192029	2	9	3	44	0.00295714
0.192029	2	11	3	38	0.00295714
0.194029	2	6	3	44	0.00295714
0.194029	2	3	3	16	0.00295714
0.195029	2	13	3	44	0.00295714
0.195029	2	3	3	72	0.00295714
0.196029	2	3	3	44	0.00295714
0.197029	2	3	3	50	0.00295714
0.198029	2	9	3	127	0.00295714
0.199029	2	9	3	127	0.00295714
0.200029	2	9	3	127	0.00295714
0.201029	2	9	3	61	0.00295714
0.202029	2	16	3	16	0.00295714
0.202029	2	17	3	16	0.00295714
0.202029	2	20	3	16	0.00295714
0.203029	2	13	3	127	0.00295714
0.206029	2	16	3	16	0.00295714
0.207029	2	13	3	121	0.00295714
0.208029	2	19	3	44	0.00295714
0.208029	2	18	3	44	0.00295714
0.210029	2	6	3	72	0.00295714
0.211029	2	6	3	127	0.00295714
0.212029	2	6	3	12	0.00295714
0.213029	2	14	3	16	0.00295714
0.213029	2	1	3	44	0.00295714
0.213029	2	2	3	44	0.00295714
0.214029	2	16	3	72	0.00295714
0.214029	2	14	3	44	0.00295714
0.215029	2	16	3	127	0.00295714
0.217029	2	16	3	99	0.00295714
0.218029	2	16	3	127	0.00295714
0.219029	2	2	3	127	0.00295714
0.220029	2	2	3	127	0.00295714
0.221029	2	2	3	127	0.00295714
0.222029	2	2	3	101	0.00295714
0.223029	2	1	3	72	0.00295714
0.224029	2	1	3	127	0.00295714
0.228029	2	3	3	44	0.00295714
0.228029	2	1	3	72	0.00295714
0.229029	2	1	3	127	0.00295714
0.230029	2	1	3	127	0.00295714
0.231029	2	14	3	16	0.00295714
0.231029	2	1	3	99	0.00295714
0.232029	2	14	3	127	0.00295714
0.233029	2	14	3	127	0.00295714
0.234029	2	3	3	127	0.00295714
0.235029	2	3	3	127	0.00295714
0.236029	2	28	3	44	0.00295714
0.236029	2	3	3	72	0.00295714
0.237029	2	1	3	44	0.00295714
0.237029	2	3	3	9	0.00295714
0.238029	2	1	3	127	0.00295714
0.239029	2	1	3	41	0.00295714
0.242029	2	28	3	127	0.00295714
0.243029	2	28	3	127	0.00295714
0.244029	2	28	3	45	0.00295714
0.245029	2	6	3	44	0.00295714
0.246029	2	14	3	127	0.00295714
0.247029	2	14	3	127	0.00295714
0.249029	2	14	3	44	0.00295714
0.250029	2	16	3	16	0.00295714
0.250029	2	14	3	58	0.00295714
0.251029	2	6	3	127	0.00295714
0.252029	2	6	3	82	0.00295714
0.254029	2	17	3	16	0.00295714
0.254029	2	16	3	44	0.00295714
0.255029	2	13	3	44	0.00295714
0.256029	2	16	3	99	0.00295714
0.258029	2	16	3	127	0.00295714
0.259029	2	16	3	127	0.00295714
0.260029	2	16	3	127	0.00295714
0.261029	2	13	3	127	0.00295714
0.262029	2	13	3	121	0.00295714
0.263029	2	16	3	3	0.00295714
