time(s)	cellId	rnti	lcid	packetSize
0.0570714	2	15	3	44
0.0630714	2	15	3	99
0.0650714	2	12	3	44
0.0710714	2	12	3	127
0.0720714	2	12	3	127
0.0730714	2	12	3	23
0.0790714	2	25	3	44
0.0850714	2	24	3	35
0.0850714	2	25	3	72
0.0860714	2	8	3	44
0.0860714	2	25	3	72
0.0870714	2	25	3	127
0.0880714	2	25	3	127
0.0890714	2	25	3	43
0.0900714	2	7	3	44
0.0920714	2	8	3	41
0.0940714	2	28	3	44
0.0960714	2	7	3	127
0.0970714	2	7	3	127
0.0980714	2	7	3	127
0.0990714	2	7	3	23
0.100071	2	28	3	72
0.101071	2	28	3	127
0.104071	2	28	3	72
0.105071	2	28	3	30
0.106071	2	30	3	44
0.108071	2	29	3	44
0.109071	2	4	3	44
0.112071	2	10	3	44
0.112071	2	30	3	18
0.114071	2	11	3	44
0.114071	2	29	3	72
0.115071	2	4	3	127
0.116071	2	4	3	21
0.116071	2	29	3	16
0.117071	2	15	3	44
0.117071	2	29	3	72
0.118071	2	10	3	127
0.119071	2	10	3	127
0.120071	2	11	3	127
0.121071	2	11	3	127
0.122071	2	11	3	66
0.123071	2	15	3	99
0.124071	2	10	3	99
0.125071	2	12	3	44
0.125071	2	10	3	72
0.127071	2	10	3	16
0.128071	2	10	3	26
0.129071	2	9	3	44
0.131071	2	12	3	127
0.132071	2	12	3	127
0.133071	2	12	3	23
0.133071	2	5	3	16
0.134071	2	5	3	44
0.134071	2	18	3	44
0.135071	2	9	3	127
0.136071	2	9	3	127
0.138071	2	9	3	72
0.139071	2	9	3	72
0.139071	2	25	3	44
0.140071	2	9	3	46
0.143071	2	5	3	16
0.145071	2	25	3	127
0.146071	2	25	3	127
0.147071	2	25	3	127
0.148071	2	25	3	58
0.149071	2	8	3	44
0.149071	2	24	3	16
0.150071	2	7	3	44
0.150071	2	24	3	21
0.153071	2	5	3	16
0.154071	2	5	3	15
0.154071	2	2	3	16
0.154071	2	28	3	44
0.155071	2	8	3	41
0.156071	2	7	3	127
0.157071	2	7	3	127
0.158071	2	7	3	127
0.159071	2	7	3	23
0.160071	2	28	3	72
0.161071	2	28	3	127
0.164071	2	28	3	72
0.165071	2	28	3	30
0.168071	2	3	3	44
0.168071	2	30	3	44
0.169071	2	4	3	44
0.169071	2	2	3	72
0.170071	2	2	3	72
0.171071	2	2	3	127
0.172071	2	10	3	44
0.172071	2	2	3	72
0.173071	2	2	3	127
0.174071	2	11	3	44
0.174071	2	3	3	16
0.174071	2	30	3	18
0.175071	2	4	3	127
0.176071	2	4	3	21
0.176071	2	3	3	16
0.177071	2	3	3	127
0.178071	2	10	3	127
0.179071	2	10	3	127
0.180071	2	10	3	127
0.181071	2	10	3	82
0.182071	2	11	3	16
0.182071	2	5	3	44
0.183071	2	11	3	127
0.187071	2	11	3	127
0.188071	2	11	3	16
0.188071	2	5	3	57
0.189071	2	11	3	38
0.189071	2	9	3	44
0.191071	2	6	3	44
0.191071	2	3	3	16
0.192071	2	13	3	44
0.192071	2	3	3	72
0.193071	2	3	3	44
0.194071	2	3	3	50
0.195071	2	9	3	127
0.196071	2	9	3	127
0.197071	2	9	3	127
0.198071	2	9	3	61
0.199071	2	16	3	16
0.199071	2	17	3	16
0.199071	2	20	3	16
0.200071	2	13	3	127
0.203071	2	16	3	16
0.204071	2	13	3	121
0.205071	2	18	3	44
0.205071	2	19	3	44
0.207071	2	6	3	72
0.208071	2	6	3	127
0.209071	2	6	3	12
0.210071	2	14	3	16
0.210071	2	2	3	44
0.210071	2	1	3	44
0.211071	2	14	3	44
0.211071	2	16	3	72
0.212071	2	16	3	127
0.214071	2	16	3	99
0.215071	2	16	3	127
0.216071	2	2	3	127
0.217071	2	2	3	127
0.218071	2	2	3	127
0.219071	2	2	3	101
0.220071	2	1	3	72
0.221071	2	1	3	127
0.225071	2	3	3	44
0.225071	2	1	3	72
0.226071	2	1	3	127
0.227071	2	1	3	127
0.228071	2	14	3	16
0.228071	2	1	3	99
0.229071	2	14	3	127
0.230071	2	14	3	127
0.231071	2	3	3	127
0.232071	2	3	3	127
0.233071	2	3	3	72
0.233071	2	28	3	44
0.234071	2	3	3	9
0.234071	2	1	3	44
0.235071	2	1	3	127
0.236071	2	1	3	41
0.239071	2	28	3	127
0.240071	2	28	3	127
0.241071	2	28	3	45
0.242071	2	6	3	44
0.243071	2	14	3	127
0.244071	2	14	3	127
0.246071	2	14	3	44
0.247071	2	14	3	58
0.247071	2	16	3	16
0.248071	2	6	3	127
0.249071	2	6	3	82
0.251071	2	16	3	44
0.251071	2	17	3	16
0.252071	2	13	3	44
0.253071	2	16	3	99
0.255071	2	16	3	127
0.256071	2	16	3	127
0.257071	2	16	3	127
0.258071	2	13	3	127
0.259071	2	13	3	121
0.260071	2	16	3	3
0.263071	2	17	3	99
0.265071	2	17	3	99
0.266071	2	17	3	127
0.267071	2	17	3	47
0.267071	2	18	3	44
0.268071	2	18	3	127
0.272071	2	18	3	44
0.273071	2	18	3	127
0.274071	2	18	3	127
0.275071	2	18	3	127
0.276071	2	18	3	127
0.277071	2	18	3	105
0.283071	2	19	3	99
0.284071	2	19	3	127
0.285071	2	19	3	127
0.286071	2	19	3	44
0.286071	2	20	3	72
0.287071	2	20	3	127
0.288071	2	20	3	127
0.289071	2	19	3	127
0.290071	2	19	3	127
0.291071	2	19	3	59
0.296071	2	20	3	16
0.297071	2	20	3	127
0.298071	2	20	3	35
0.298071	2	21	3	44
0.299071	2	22	3	44
0.299071	2	23	3	44
0.299071	2	26	3	16
0.300071	2	26	3	44
0.300071	2	27	3	44
0.300071	2	29	3	16
0.301071	2	29	3	127
0.303071	2	29	3	72
0.304071	2	21	3	127
0.305071	2	21	3	127
0.306071	2	21	3	127
0.307071	2	21	3	127
0.308071	2	21	3	127
0.309071	2	21	3	127
0.310071	2	21	3	127
0.311071	2	21	3	39
0.312071	2	28	3	44
0.316071	2	22	3	44
0.317071	2	22	3	127
0.318071	2	28	3	127
0.319071	2	28	3	127
0.320071	2	28	3	45
0.321071	2	22	3	99
0.322071	2	22	3	127
0.323071	2	22	3	127
0.325071	2	22	3	44
0.326071	2	22	3	24
0.329071	2	23	3	16
0.330071	2	23	3	52
0.330071	2	26	3	44
0.331071	2	26	3	72
0.332071	2	26	3	127
0.333071	2	26	3	127
0.334071	2	26	3	126
0.340071	2	27	3	99
0.341071	2	27	3	127
0.342071	2	27	3	127
0.343071	2	27	3	71
0.344071	2	29	3	44
0.345071	2	29	3	127
0.348071	2	5	3	44
0.349071	2	29	3	99
0.350071	2	29	3	113
0.354071	2	5	3	57
0.359071	2	1	3	44
0.365071	2	1	3	127
0.366071	2	1	3	127
0.367071	2	1	3	127
0.368071	2	1	3	14
0.391071	2	28	3	44
0.397071	2	28	3	127
0.398071	2	28	3	127
0.399071	2	28	3	45
0.470071	2	28	3	44
0.476071	2	28	3	127
0.477071	2	28	3	127
0.478071	2	28	3	45
0.488071	2	1	3	44
0.494071	2	1	3	127
0.495071	2	1	3	127
0.496071	2	1	3	127
0.497071	2	1	3	14
0.514071	2	5	3	44
0.520071	2	5	3	57
0.549071	2	28	3	44
0.555071	2	28	3	127
0.556071	2	28	3	127
0.557071	2	28	3	45
0.617071	2	1	3	44
0.623071	2	1	3	127
0.624071	2	1	3	127
0.625071	2	1	3	127
0.626071	2	1	3	14
0.628071	2	28	3	44
0.634071	2	28	3	127
0.635071	2	28	3	127
0.636071	2	28	3	45
0.680071	2	5	3	44
0.686071	2	5	3	57
0.696071	2	15	3	44
0.702071	2	15	3	99
0.707071	2	28	3	44
0.713071	2	28	3	127
0.714071	2	28	3	127
0.715071	2	28	3	45
0.746071	2	1	3	44
0.752071	2	1	3	127
0.753071	2	1	3	127
0.754071	2	1	3	127
0.755071	2	1	3	14
0.786071	2	28	3	44
0.792071	2	28	3	127
0.793071	2	28	3	127
0.794071	2	28	3	45
0.846071	2	5	3	44
0.852071	2	5	3	57
0.865071	2	28	3	44
0.871071	2	28	3	127
0.872071	2	28	3	127
0.873071	2	28	3	45
0.875071	2	1	3	44
0.881071	2	1	3	127
0.882071	2	1	3	127
0.883071	2	1	3	127
0.884071	2	1	3	14
0.910071	2	22	3	44
0.913071	2	24	3	35
0.916071	2	22	3	127
0.917071	2	22	3	127
0.918071	2	22	3	19
0.944071	2	28	3	44
0.950071	2	28	3	127
0.951071	2	28	3	127
0.952071	2	28	3	45
1.00407	2	1	3	44
1.01007	2	1	3	127
1.01107	2	1	3	127
1.01207	2	1	3	127
1.01307	2	1	3	14
1.01407	2	5	3	44
1.02007	2	5	3	57
1.02307	2	28	3	44
1.02907	2	28	3	127
1.03007	2	28	3	127
1.03107	2	28	3	45
1.10207	2	28	3	44
1.10807	2	28	3	127
1.10907	2	28	3	127
1.11007	2	28	3	45
1.13307	2	1	3	44
1.13907	2	1	3	127
1.14007	2	1	3	127
1.14107	2	1	3	127
1.14207	2	1	3	14
1.17807	2	5	3	44
1.18107	2	28	3	44
1.18407	2	5	3	57
1.18707	2	28	3	127
1.18807	2	28	3	127
1.18907	2	28	3	45
1.26007	2	28	3	44
1.26207	2	1	3	44
1.26607	2	28	3	127
1.26707	2	28	3	127
1.26807	2	28	3	45
1.26907	2	1	3	99
1.27007	2	1	3	127
1.27107	2	1	3	127
1.27307	2	1	3	42
1.27707	2	15	3	44
1.28307	2	15	3	99
1.33907	2	28	3	44
1.34407	2	5	3	44
1.34507	2	28	3	127
1.34607	2	28	3	127
1.34707	2	28	3	45
1.35007	2	5	3	57
1.39107	2	1	3	44
1.39707	2	1	3	127
1.39807	2	1	3	127
1.39907	2	1	3	127
1.40007	2	1	3	14
1.41807	2	28	3	44
1.42407	2	28	3	127
1.42507	2	28	3	127
1.42607	2	28	3	45
1.49707	2	28	3	44
1.50307	2	28	3	127
1.50407	2	28	3	127
1.50507	2	28	3	45
1.51007	2	5	3	44
1.51607	2	5	3	57
1.52007	2	1	3	44
1.52607	2	1	3	127
1.52707	2	1	3	127
1.52807	2	1	3	127
1.52907	2	1	3	14
1.56607	2	22	3	44
1.57207	2	22	3	127
1.57307	2	22	3	127
1.57407	2	22	3	19
1.57607	2	28	3	44
1.58207	2	28	3	127
1.58307	2	28	3	127
1.58407	2	28	3	45
1.61707	2	7	3	44
1.62307	2	7	3	127
1.62407	2	7	3	127
1.62507	2	7	3	127
1.62607	2	7	3	23
1.64907	2	1	3	44
1.65507	2	28	3	44
1.65507	2	1	3	72
1.65607	2	1	3	127
1.65707	2	1	3	127
1.65807	2	1	3	69
1.66107	2	28	3	127
1.66207	2	28	3	127
1.66307	2	28	3	45
1.67607	2	5	3	44
1.68107	2	24	3	35
1.68207	2	5	3	57
1.73407	2	28	3	44
1.74007	2	28	3	127
1.74107	2	28	3	127
1.74207	2	28	3	45
1.74307	2	18	3	44
1.74907	2	18	3	127
1.75007	2	18	3	127
1.75107	2	18	3	127
1.75207	2	18	3	32
1.76607	2	30	3	44
1.77207	2	30	3	18
1.77807	2	1	3	44
1.78407	2	1	3	127
1.78507	2	1	3	127
1.78607	2	1	3	127
1.78707	2	1	3	14
1.79907	2	17	3	44
1.80507	2	17	3	127
1.80607	2	17	3	30
1.81307	2	28	3	44
1.81907	2	28	3	127
1.82007	2	28	3	127
1.82107	2	28	3	45
1.84207	2	5	3	44
1.84807	2	5	3	57
1.85407	2	15	3	44
1.86007	2	15	3	99
1.89207	2	28	3	44
1.89807	2	28	3	127
1.89907	2	28	3	127
1.90007	2	28	3	45
1.90707	2	1	3	44
1.91307	2	1	3	127
1.91407	2	1	3	127
1.91507	2	1	3	127
1.91607	2	1	3	14
1.97107	2	28	3	44
1.97707	2	28	3	127
1.97807	2	28	3	127
