Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	streamId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
0.0599286	UL	5	9	0	1	12	1	0	0	15	52	12	0	44.0931	0	0
0.0599286	UL	5	9	0	1	12	1	0	0	15	52	12	0	44.0931	0	0
0.0659286	UL	6	5	0	1	12	1	0	0	15	135	12	0	39.8901	0	0
0.0659286	UL	6	5	0	1	12	1	0	0	15	135	12	0	39.8901	0	0
0.0679286	UL	6	7	0	1	12	1	0	0	12	52	12	0	44.694	0	0
0.0679286	UL	6	7	0	1	12	1	0	0	12	52	12	0	44.694	0	0
0.0739286	UL	7	3	0	1	12	1	0	0	12	135	12	0	39.9606	0	0
0.0739286	UL	7	3	0	1	12	1	0	0	12	135	12	0	39.9606	0	0
0.0749286	UL	7	4	0	1	12	1	0	0	12	135	12	0	39.9606	0	0
0.0749286	UL	7	4	0	1	12	1	0	0	12	135	12	0	39.9606	0	0
0.0759286	UL	7	5	0	1	12	1	0	0	12	52	12	0	44.694	0	0
0.0759286	UL	7	5	0	1	12	1	0	0	12	52	12	0	44.694	0	0
0.0799286	UL	7	9	0	1	12	1	0	0	12	135	12	0	39.9606	0	0
0.0809286	UL	8	0	0	1	12	1	0	0	12	52	12	0	44.694	0	0
0.0819286	UL	8	1	0	1	12	1	0	0	25	52	12	0	39.9703	0	0
0.0819286	UL	8	1	0	1	12	1	0	0	25	52	12	0	39.9703	0	0
0.0879286	UL	8	7	0	1	12	1	0	0	24	52	12	0	23.8294	0	0
0.0879286	UL	8	7	0	1	12	1	0	0	24	52	12	0	23.8294	0	0
0.0879286	UL	8	7	0	1	12	1	0	0	25	80	12	0	38.1936	0	0
0.0879286	UL	8	7	0	1	12	1	0	0	25	80	12	0	38.1936	0	0
0.0889286	UL	8	8	0	1	12	1	0	0	8	52	12	0	47.6738	0	0
0.0889286	UL	8	8	0	1	12	1	0	0	8	52	12	0	47.6738	0	0
0.0889286	UL	8	8	0	1	12	1	0	0	25	80	12	0	38.1936	0	0
0.0889286	UL	8	8	0	1	12	1	0	0	25	80	12	0	38.1936	0	0
0.0899286	UL	8	9	0	1	12	1	0	0	25	135	12	0	35.9814	0	0
0.0899286	UL	8	9	0	1	12	1	0	0	25	135	12	0	35.9814	0	0
0.0909286	UL	9	0	0	1	12	1	0	0	25	135	12	0	35.9814	0	0
0.0909286	UL	9	0	0	1	12	1	0	0	25	135	12	0	35.9814	0	0
0.0919286	UL	9	1	0	1	12	1	0	0	25	135	12	0	35.9814	0	0
0.0919286	UL	9	1	0	1	12	1	0	0	25	135	12	0	35.9814	0	0
0.0929286	UL	9	2	0	1	12	1	0	0	7	52	12	0	52.9418	0	0
0.0929286	UL	9	2	0	1	12	1	0	0	7	52	12	0	52.9418	0	0
0.0929286	UL	9	2	0	1	12	1	0	0	25	52	12	0	40.0528	0	0
0.0939286	UL	9	3	0	1	12	1	0	0	25	135	12	0	35.9814	0	0
0.0949286	UL	9	4	0	1	12	1	0	0	8	80	12	0	45.4785	0	0
0.0949286	UL	9	4	0	1	12	1	0	0	8	80	12	0	45.4785	0	0
0.0949286	UL	9	4	0	1	12	1	0	0	25	52	12	0	39.9023	0	0
0.0959286	UL	9	5	0	1	12	1	0	0	25	135	12	0	35.9814	0	0
0.0969286	UL	9	6	0	1	12	1	0	0	28	52	12	0	46.6017	0	0
0.0969286	UL	9	6	0	1	12	1	0	0	28	52	12	0	46.6017	0	0
0.0969286	UL	9	6	0	1	12	1	0	0	25	80	12	0	38.2384	0	0
0.0989286	UL	9	8	0	1	12	1	0	0	7	135	12	0	50.2491	0	0
0.0989286	UL	9	8	0	1	12	1	0	0	7	135	12	0	50.2491	0	0
0.0999286	UL	9	9	0	1	12	1	0	0	7	135	12	0	50.2491	0	0
0.0999286	UL	9	9	0	1	12	1	0	0	7	135	12	0	50.2491	0	0
0.100929	UL	10	0	0	1	12	1	0	0	7	135	12	0	50.2491	0	0
0.100929	UL	10	0	0	1	12	1	0	0	7	135	12	0	50.2491	0	0
0.101929	UL	10	1	0	1	12	1	0	0	7	135	12	0	50.2491	0	0
0.101929	UL	10	1	0	1	12	1	0	0	7	135	12	0	50.2491	0	0
0.102929	UL	10	2	0	1	12	1	0	0	28	80	12	0	44.6382	0	0
