Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.055	ENB PHY Rxed	5	4	0	2	0	0	SR
0.063	ENB PHY Rxed	6	2	0	2	0	0	SR
0.077	ENB PHY Rxed	7	6	0	2	0	0	SR
0.083	ENB PHY Rxed	8	2	0	2	0	0	SR
0.084	ENB PHY Rxed	8	3	0	2	0	0	SR
0.088	ENB PHY Rxed	8	7	0	2	0	0	SR
0.092	ENB PHY Rxed	9	1	0	2	0	0	SR
0.096	ENB PHY Rxed	9	5	0	2	0	0	SR
0.104	ENB PHY Rxed	10	3	0	2	0	0	SR
0.107	ENB PHY Rxed	10	6	0	2	0	0	SR
0.11	ENB PHY Rxed	10	9	0	2	0	0	SR
0.112	ENB PHY Rxed	11	1	0	2	0	0	SR
0.115	ENB PHY Rxed	11	4	0	2	0	0	SR
0.12	ENB PHY Rxed	11	9	0	2	0	0	SR
0.123	ENB PHY Rxed	12	2	0	2	0	0	SR
0.127	ENB PHY Rxed	12	6	0	2	0	0	SR
0.128	ENB PHY Rxed	12	7	0	2	0	0	SR
0.129	ENB PHY Rxed	12	8	0	2	0	0	SR
0.137	ENB PHY Rxed	13	6	0	2	0	0	SR
0.139	ENB PHY Rxed	13	8	0	2	0	0	SR
0.141	ENB PHY Rxed	14	0	0	2	0	0	SR
0.143	ENB PHY Rxed	14	2	0	2	0	0	SR
0.144	ENB PHY Rxed	14	3	0	2	0	0	SR
0.145	ENB PHY Rxed	14	4	0	2	0	0	SR
0.148	ENB PHY Rxed	14	7	0	2	0	0	SR
0.152	ENB PHY Rxed	15	1	0	2	0	0	SR
0.162	ENB PHY Rxed	16	1	0	2	0	0	SR
0.163	ENB PHY Rxed	16	2	0	2	0	0	SR
0.164	ENB PHY Rxed	16	3	0	2	0	0	SR
0.166	ENB PHY Rxed	16	5	0	2	0	0	SR
0.167	ENB PHY Rxed	16	6	0	2	0	0	SR
0.168	ENB PHY Rxed	16	7	0	2	0	0	SR
0.17	ENB PHY Rxed	16	9	0	2	0	0	SR
0.172	ENB PHY Rxed	17	1	0	2	0	0	SR
0.177	ENB PHY Rxed	17	6	0	2	0	0	SR
0.178	ENB PHY Rxed	17	7	0	2	0	0	SR
0.18	ENB PHY Rxed	17	9	0	2	0	0	SR
0.182	ENB PHY Rxed	18	1	0	2	0	0	SR
0.187	ENB PHY Rxed	18	6	0	2	0	0	SR
0.19	ENB PHY Rxed	18	9	0	2	0	0	SR
0.192	ENB PHY Rxed	19	1	0	2	0	0	SR
0.197	ENB PHY Rxed	19	6	0	2	0	0	SR
0.203	ENB PHY Rxed	20	2	0	2	0	0	SR
0.223	ENB PHY Rxed	22	2	0	2	0	0	SR
0.231	ENB PHY Rxed	23	0	0	2	0	0	SR
0.237	ENB PHY Rxed	23	6	0	2	0	0	SR
0.25	ENB PHY Rxed	24	9	0	2	0	0	SR
0.31	ENB PHY Rxed	30	9	0	2	0	0	SR
0.346	ENB PHY Rxed	34	5	0	2	0	0	SR
0.357	ENB PHY Rxed	35	6	0	2	0	0	SR
0.389	ENB PHY Rxed	38	8	0	2	0	0	SR
0.468	ENB PHY Rxed	46	7	0	2	0	0	SR
0.486	ENB PHY Rxed	48	5	0	2	0	0	SR
0.512	ENB PHY Rxed	51	1	0	2	0	0	SR
0.547	ENB PHY Rxed	54	6	0	2	0	0	SR
0.615	ENB PHY Rxed	61	4	0	2	0	0	SR
0.626	ENB PHY Rxed	62	5	0	2	0	0	SR
0.678	ENB PHY Rxed	67	7	0	2	0	0	SR
0.694	ENB PHY Rxed	69	3	0	2	0	0	SR
0.705	ENB PHY Rxed	70	4	0	2	0	0	SR
0.744	ENB PHY Rxed	74	3	0	2	0	0	SR
0.784	ENB PHY Rxed	78	3	0	2	0	0	SR
0.844	ENB PHY Rxed	84	3	0	2	0	0	SR
0.863	ENB PHY Rxed	86	2	0	2	0	0	SR
0.873	ENB PHY Rxed	87	2	0	2	0	0	SR
0.908	ENB PHY Rxed	90	7	0	2	0	0	SR
0.911	ENB PHY Rxed	91	0	0	2	0	0	SR
0.942	ENB PHY Rxed	94	1	0	2	0	0	SR
1.002	ENB PHY Rxed	100	1	0	2	0	0	SR
1.01	ENB PHY Rxed	100	9	0	2	0	0	SR
1.021	ENB PHY Rxed	102	0	0	2	0	0	SR
1.1	ENB PHY Rxed	109	9	0	2	0	0	SR
1.131	ENB PHY Rxed	113	0	0	2	0	0	SR
1.176	ENB PHY Rxed	117	5	0	2	0	0	SR
1.179	ENB PHY Rxed	117	8	0	2	0	0	SR
1.258	ENB PHY Rxed	125	7	0	2	0	0	SR
1.26	ENB PHY Rxed	125	9	0	2	0	0	SR
1.273	ENB PHY Rxed	127	2	0	2	0	0	SR
1.337	ENB PHY Rxed	133	6	0	2	0	0	SR
1.342	ENB PHY Rxed	134	1	0	2	0	0	SR
1.389	ENB PHY Rxed	138	8	0	2	0	0	SR
1.416	ENB PHY Rxed	141	5	0	2	0	0	SR
1.495	ENB PHY Rxed	149	4	0	2	0	0	SR
1.508	ENB PHY Rxed	150	7	0	2	0	0	SR
1.518	ENB PHY Rxed	151	7	0	2	0	0	SR
1.564	ENB PHY Rxed	156	3	0	2	0	0	SR
1.574	ENB PHY Rxed	157	3	0	2	0	0	SR
1.615	ENB PHY Rxed	161	4	0	2	0	0	SR
1.647	ENB PHY Rxed	164	6	0	2	0	0	SR
1.653	ENB PHY Rxed	165	2	0	2	0	0	SR
1.674	ENB PHY Rxed	167	3	0	2	0	0	SR
1.679	ENB PHY Rxed	167	8	0	2	0	0	SR
1.732	ENB PHY Rxed	173	1	0	2	0	0	SR
1.739	ENB PHY Rxed	173	8	0	2	0	0	SR
1.764	ENB PHY Rxed	176	3	0	2	0	0	SR
1.776	ENB PHY Rxed	177	5	0	2	0	0	SR
1.797	ENB PHY Rxed	179	6	0	2	0	0	SR
1.811	ENB PHY Rxed	181	0	0	2	0	0	SR
1.84	ENB PHY Rxed	183	9	0	2	0	0	SR
1.852	ENB PHY Rxed	185	1	0	2	0	0	SR
1.89	ENB PHY Rxed	188	9	0	2	0	0	SR
1.905	ENB PHY Rxed	190	4	0	2	0	0	SR
1.969	ENB PHY Rxed	196	8	0	2	0	0	SR
1.993	ENB PHY Rxed	199	2	0	2	0	0	SR
2.006	ENB PHY Rxed	200	5	0	2	0	0	SR
2.034	ENB PHY Rxed	203	3	0	2	0	0	SR
2.048	ENB PHY Rxed	204	7	0	2	0	0	SR
2.093	ENB PHY Rxed	209	2	0	2	0	0	SR
2.127	ENB PHY Rxed	212	6	0	2	0	0	SR
2.163	ENB PHY Rxed	216	2	0	2	0	0	SR
2.172	ENB PHY Rxed	217	1	0	2	0	0	SR
2.206	ENB PHY Rxed	220	5	0	2	0	0	SR
2.22	ENB PHY Rxed	221	9	0	2	0	0	SR
2.285	ENB PHY Rxed	228	4	0	2	0	0	SR
2.292	ENB PHY Rxed	229	1	0	2	0	0	SR
2.338	ENB PHY Rxed	233	7	0	2	0	0	SR
2.364	ENB PHY Rxed	236	3	0	2	0	0	SR
2.421	ENB PHY Rxed	242	0	0	2	0	0	SR
2.431	ENB PHY Rxed	243	0	0	2	0	0	SR
2.443	ENB PHY Rxed	244	2	0	2	0	0	SR
2.447	ENB PHY Rxed	244	6	0	2	0	0	SR
2.504	ENB PHY Rxed	250	3	0	2	0	0	SR
2.519	ENB PHY Rxed	251	8	0	2	0	0	SR
2.522	ENB PHY Rxed	252	1	0	2	0	0	SR
2.529	ENB PHY Rxed	252	8	0	2	0	0	SR
2.55	ENB PHY Rxed	254	9	0	2	0	0	SR
2.601	ENB PHY Rxed	260	0	0	2	0	0	SR
2.67	ENB PHY Rxed	266	9	0	2	0	0	SR
2.679	ENB PHY Rxed	267	8	0	2	0	0	SR
2.68	ENB PHY Rxed	267	9	0	2	0	0	SR
2.759	ENB PHY Rxed	275	8	0	2	0	0	SR
2.808	ENB PHY Rxed	280	7	0	2	0	0	SR
2.836	ENB PHY Rxed	283	5	0	2	0	0	SR
2.838	ENB PHY Rxed	283	7	0	2	0	0	SR
2.876	ENB PHY Rxed	287	5	0	2	0	0	SR
2.917	ENB PHY Rxed	291	6	0	2	0	0	SR
2.937	ENB PHY Rxed	293	6	0	2	0	0	SR
2.972	ENB PHY Rxed	297	1	0	2	0	0	SR
2.984	ENB PHY Rxed	298	3	0	2	0	0	SR
2.996	ENB PHY Rxed	299	5	0	2	0	0	SR
3.002	ENB PHY Rxed	300	1	0	2	0	0	SR
3.01	ENB PHY Rxed	300	9	0	2	0	0	SR
3.05	ENB PHY Rxed	304	9	0	2	0	0	SR
3.066	ENB PHY Rxed	306	5	0	2	0	0	SR
3.075	ENB PHY Rxed	307	4	0	2	0	0	SR
3.082	ENB PHY Rxed	308	1	0	2	0	0	SR
3.149	ENB PHY Rxed	314	8	0	2	0	0	SR
3.154	ENB PHY Rxed	315	3	0	2	0	0	SR
3.168	ENB PHY Rxed	316	7	0	2	0	0	SR
3.184	ENB PHY Rxed	318	3	0	2	0	0	SR
3.195	ENB PHY Rxed	319	4	0	2	0	0	SR
3.215	ENB PHY Rxed	321	4	0	2	0	0	SR
3.233	ENB PHY Rxed	323	2	0	2	0	0	SR
3.29	ENB PHY Rxed	328	9	0	2	0	0	SR
3.296	ENB PHY Rxed	329	5	0	2	0	0	SR
