Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0	ENB PHY Txed	0	0	0	2	0	0	MIB
0.005	ENB PHY Txed	0	5	0	2	0	0	SIB1
0.01	ENB PHY Txed	1	0	0	2	0	0	MIB
0.015	ENB PHY Txed	1	5	0	2	0	0	SIB1
0.02	ENB PHY Txed	2	0	0	2	0	0	RAR
0.02	ENB PHY Txed	2	0	0	2	0	0	MIB
0.025	ENB PHY Txed	2	5	0	2	0	0	SIB1
0.03	ENB PHY Txed	3	0	0	2	0	0	MIB
0.035	ENB PHY Txed	3	5	0	2	0	0	SIB1
0.04	ENB PHY Txed	4	0	0	2	0	0	MIB
0.045	ENB PHY Txed	4	5	0	2	0	0	SIB1
0.05	ENB PHY Txed	5	0	0	2	0	0	MIB
0.055	ENB PHY Txed	5	5	0	2	0	0	SIB1
0.057	ENB PHY Txed	5	7	0	2	0	0	UL_UCI
0.06	ENB PHY Txed	6	0	0	2	0	0	MIB
0.063	ENB PHY Txed	6	3	0	2	0	0	UL_UCI
0.065	ENB PHY Txed	6	5	0	2	0	0	UL_UCI
0.065	ENB PHY Txed	6	5	0	2	0	0	SIB1
0.07	ENB PHY Txed	7	0	0	2	0	0	MIB
0.071	ENB PHY Txed	7	1	0	2	0	0	UL_UCI
0.072	ENB PHY Txed	7	2	0	2	0	0	UL_UCI
0.073	ENB PHY Txed	7	3	0	2	0	0	UL_UCI
0.075	ENB PHY Txed	7	5	0	2	0	0	SIB1
0.077	ENB PHY Txed	7	7	0	2	0	0	UL_UCI
0.078	ENB PHY Txed	7	8	0	2	0	0	UL_UCI
0.079	ENB PHY Txed	7	9	0	2	0	0	UL_UCI
0.08	ENB PHY Txed	8	0	0	2	0	0	MIB
0.085	ENB PHY Txed	8	5	0	2	0	0	SIB1
0.085	ENB PHY Txed	8	5	0	2	0	0	UL_UCI
0.085	ENB PHY Txed	8	5	0	2	0	0	UL_UCI
0.086	ENB PHY Txed	8	6	0	2	0	0	UL_UCI
0.086	ENB PHY Txed	8	6	0	2	0	0	UL_UCI
0.087	ENB PHY Txed	8	7	0	2	0	0	UL_UCI
0.088	ENB PHY Txed	8	8	0	2	0	0	UL_UCI
0.089	ENB PHY Txed	8	9	0	2	0	0	UL_UCI
0.09	ENB PHY Txed	9	0	0	2	0	0	UL_UCI
0.09	ENB PHY Txed	9	0	0	2	0	0	MIB
0.09	ENB PHY Txed	9	0	0	2	0	0	UL_UCI
0.091	ENB PHY Txed	9	1	0	2	0	0	UL_UCI
0.092	ENB PHY Txed	9	2	0	2	0	0	UL_UCI
0.092	ENB PHY Txed	9	2	0	2	0	0	UL_UCI
0.093	ENB PHY Txed	9	3	0	2	0	0	UL_UCI
0.094	ENB PHY Txed	9	4	0	2	0	0	UL_UCI
0.094	ENB PHY Txed	9	4	0	2	0	0	UL_UCI
0.095	ENB PHY Txed	9	5	0	2	0	0	SIB1
0.096	ENB PHY Txed	9	6	0	2	0	0	UL_UCI
0.097	ENB PHY Txed	9	7	0	2	0	0	UL_UCI
0.098	ENB PHY Txed	9	8	0	2	0	0	UL_UCI
0.099	ENB PHY Txed	9	9	0	2	0	0	UL_UCI
0.1	ENB PHY Txed	10	0	0	2	0	0	MIB
0.1	ENB PHY Txed	10	0	0	2	0	0	UL_UCI
0.1	ENB PHY Txed	10	0	0	2	0	0	UL_UCI
0.101	ENB PHY Txed	10	1	0	2	0	0	UL_UCI
0.102	ENB PHY Txed	10	2	0	2	0	0	UL_UCI
0.103	ENB PHY Txed	10	3	0	2	0	0	UL_UCI
0.104	ENB PHY Txed	10	4	0	2	0	0	UL_UCI
0.104	ENB PHY Txed	10	4	0	2	0	0	UL_UCI
0.105	ENB PHY Txed	10	5	0	2	0	0	SIB1
0.105	ENB PHY Txed	10	5	0	2	0	0	UL_UCI
0.106	ENB PHY Txed	10	6	0	2	0	0	UL_UCI
0.106	ENB PHY Txed	10	6	0	2	0	0	UL_UCI
0.107	ENB PHY Txed	10	7	0	2	0	0	UL_UCI
0.108	ENB PHY Txed	10	8	0	2	0	0	UL_UCI
