Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0549286	UE  PHY Txed	5	4	0	2	0	0	SR
0.0629286	UE  PHY Txed	6	2	0	2	0	0	SR
0.0769286	UE  PHY Txed	7	6	0	2	0	0	SR
0.0829286	UE  PHY Txed	8	2	0	2	0	0	SR
0.0839286	UE  PHY Txed	8	3	0	2	0	0	SR
0.0879286	UE  PHY Txed	8	7	0	2	0	0	SR
0.0919286	UE  PHY Txed	9	1	0	2	0	0	SR
0.0959286	UE  PHY Txed	9	5	0	2	0	0	SR
0.103929	UE  PHY Txed	10	3	0	2	0	0	SR
0.106929	UE  PHY Txed	10	6	0	2	0	0	SR
0.109929	UE  PHY Txed	10	9	0	2	0	0	SR
0.111929	UE  PHY Txed	11	1	0	2	0	0	SR
0.114929	UE  PHY Txed	11	4	0	2	0	0	SR
0.119929	UE  PHY Txed	11	9	0	2	0	0	SR
0.122929	UE  PHY Txed	12	2	0	2	0	0	SR
0.126929	UE  PHY Txed	12	6	0	2	0	0	SR
0.127929	UE  PHY Txed	12	7	0	2	0	0	SR
0.128929	UE  PHY Txed	12	8	0	2	0	0	SR
0.136929	UE  PHY Txed	13	6	0	2	0	0	SR
0.138929	UE  PHY Txed	13	8	0	2	0	0	SR
0.140929	UE  PHY Txed	14	0	0	2	0	0	SR
0.142929	UE  PHY Txed	14	2	0	2	0	0	SR
0.143929	UE  PHY Txed	14	3	0	2	0	0	SR
0.144929	UE  PHY Txed	14	4	0	2	0	0	SR
0.147929	UE  PHY Txed	14	7	0	2	0	0	SR
0.151929	UE  PHY Txed	15	1	0	2	0	0	SR
0.161929	UE  PHY Txed	16	1	0	2	0	0	SR
0.162929	UE  PHY Txed	16	2	0	2	0	0	SR
0.163929	UE  PHY Txed	16	3	0	2	0	0	SR
0.165929	UE  PHY Txed	16	5	0	2	0	0	SR
0.166929	UE  PHY Txed	16	6	0	2	0	0	SR
0.167929	UE  PHY Txed	16	7	0	2	0	0	SR
0.169929	UE  PHY Txed	16	9	0	2	0	0	SR
0.171929	UE  PHY Txed	17	1	0	2	0	0	SR
0.176929	UE  PHY Txed	17	6	0	2	0	0	SR
0.177929	UE  PHY Txed	17	7	0	2	0	0	SR
0.179929	UE  PHY Txed	17	9	0	2	0	0	SR
0.181929	UE  PHY Txed	18	1	0	2	0	0	SR
0.186929	UE  PHY Txed	18	6	0	2	0	0	SR
0.189929	UE  PHY Txed	18	9	0	2	0	0	SR
0.191929	UE  PHY Txed	19	1	0	2	0	0	SR
0.196929	UE  PHY Txed	19	6	0	2	0	0	SR
0.202929	UE  PHY Txed	20	2	0	2	0	0	SR
0.222929	UE  PHY Txed	22	2	0	2	0	0	SR
0.230929	UE  PHY Txed	23	0	0	2	0	0	SR
0.236929	UE  PHY Txed	23	6	0	2	0	0	SR
0.249929	UE  PHY Txed	24	9	0	2	0	0	SR
0.309929	UE  PHY Txed	30	9	0	2	0	0	SR
0.345929	UE  PHY Txed	34	5	0	2	0	0	SR
0.356929	UE  PHY Txed	35	6	0	2	0	0	SR
0.388929	UE  PHY Txed	38	8	0	2	0	0	SR
0.467929	UE  PHY Txed	46	7	0	2	0	0	SR
0.485929	UE  PHY Txed	48	5	0	2	0	0	SR
0.511929	UE  PHY Txed	51	1	0	2	0	0	SR
0.546929	UE  PHY Txed	54	6	0	2	0	0	SR
0.614929	UE  PHY Txed	61	4	0	2	0	0	SR
0.625929	UE  PHY Txed	62	5	0	2	0	0	SR
0.677929	UE  PHY Txed	67	7	0	2	0	0	SR
0.693929	UE  PHY Txed	69	3	0	2	0	0	SR
0.704929	UE  PHY Txed	70	4	0	2	0	0	SR
0.743929	UE  PHY Txed	74	3	0	2	0	0	SR
0.783929	UE  PHY Txed	78	3	0	2	0	0	SR
0.843929	UE  PHY Txed	84	3	0	2	0	0	SR
0.862929	UE  PHY Txed	86	2	0	2	0	0	SR
0.872929	UE  PHY Txed	87	2	0	2	0	0	SR
0.907929	UE  PHY Txed	90	7	0	2	0	0	SR
0.910929	UE  PHY Txed	91	0	0	2	0	0	SR
0.941929	UE  PHY Txed	94	1	0	2	0	0	SR
1.00193	UE  PHY Txed	100	1	0	2	0	0	SR
1.00993	UE  PHY Txed	100	9	0	2	0	0	SR
1.02093	UE  PHY Txed	102	0	0	2	0	0	SR
1.09993	UE  PHY Txed	109	9	0	2	0	0	SR
1.13093	UE  PHY Txed	113	0	0	2	0	0	SR
1.17593	UE  PHY Txed	117	5	0	2	0	0	SR
1.17893	UE  PHY Txed	117	8	0	2	0	0	SR
1.25793	UE  PHY Txed	125	7	0	2	0	0	SR
1.25993	UE  PHY Txed	125	9	0	2	0	0	SR
1.27293	UE  PHY Txed	127	2	0	2	0	0	SR
1.33693	UE  PHY Txed	133	6	0	2	0	0	SR
1.34193	UE  PHY Txed	134	1	0	2	0	0	SR
1.38893	UE  PHY Txed	138	8	0	2	0	0	SR
1.41593	UE  PHY Txed	141	5	0	2	0	0	SR
1.49493	UE  PHY Txed	149	4	0	2	0	0	SR
1.50793	UE  PHY Txed	150	7	0	2	0	0	SR
1.51793	UE  PHY Txed	151	7	0	2	0	0	SR
1.56393	UE  PHY Txed	156	3	0	2	0	0	SR
1.57393	UE  PHY Txed	157	3	0	2	0	0	SR
1.61493	UE  PHY Txed	161	4	0	2	0	0	SR
1.64693	UE  PHY Txed	164	6	0	2	0	0	SR
1.65293	UE  PHY Txed	165	2	0	2	0	0	SR
1.67393	UE  PHY Txed	167	3	0	2	0	0	SR
1.67893	UE  PHY Txed	167	8	0	2	0	0	SR
1.73193	UE  PHY Txed	173	1	0	2	0	0	SR
1.73893	UE  PHY Txed	173	8	0	2	0	0	SR
1.76393	UE  PHY Txed	176	3	0	2	0	0	SR
1.77593	UE  PHY Txed	177	5	0	2	0	0	SR
1.79693	UE  PHY Txed	179	6	0	2	0	0	SR
1.81093	UE  PHY Txed	181	0	0	2	0	0	SR
1.83993	UE  PHY Txed	183	9	0	2	0	0	SR
1.85193	UE  PHY Txed	185	1	0	2	0	0	SR
1.88993	UE  PHY Txed	188	9	0	2	0	0	SR
1.90493	UE  PHY Txed	190	4	0	2	0	0	SR
1.96893	UE  PHY Txed	196	8	0	2	0	0	SR
1.99293	UE  PHY Txed	199	2	0	2	0	0	SR
2.00593	UE  PHY Txed	200	5	0	2	0	0	SR
2.03393	UE  PHY Txed	203	3	0	2	0	0	SR
2.04793	UE  PHY Txed	204	7	0	2	0	0	SR
2.09293	UE  PHY Txed	209	2	0	2	0	0	SR
2.12693	UE  PHY Txed	212	6	0	2	0	0	SR
2.16293	UE  PHY Txed	216	2	0	2	0	0	SR
2.17193	UE  PHY Txed	217	1	0	2	0	0	SR
2.20593	UE  PHY Txed	220	5	0	2	0	0	SR
2.21993	UE  PHY Txed	221	9	0	2	0	0	SR
2.28493	UE  PHY Txed	228	4	0	2	0	0	SR
2.29193	UE  PHY Txed	229	1	0	2	0	0	SR
2.33793	UE  PHY Txed	233	7	0	2	0	0	SR
2.36393	UE  PHY Txed	236	3	0	2	0	0	SR
2.42093	UE  PHY Txed	242	0	0	2	0	0	SR
2.43093	UE  PHY Txed	243	0	0	2	0	0	SR
2.44293	UE  PHY Txed	244	2	0	2	0	0	SR
2.44693	UE  PHY Txed	244	6	0	2	0	0	SR
2.50393	UE  PHY Txed	250	3	0	2	0	0	SR
2.51893	UE  PHY Txed	251	8	0	2	0	0	SR
2.52193	UE  PHY Txed	252	1	0	2	0	0	SR
2.52893	UE  PHY Txed	252	8	0	2	0	0	SR
2.54993	UE  PHY Txed	254	9	0	2	0	0	SR
2.60093	UE  PHY Txed	260	0	0	2	0	0	SR
2.66993	UE  PHY Txed	266	9	0	2	0	0	SR
2.67893	UE  PHY Txed	267	8	0	2	0	0	SR
2.67993	UE  PHY Txed	267	9	0	2	0	0	SR
2.75893	UE  PHY Txed	275	8	0	2	0	0	SR
2.80793	UE  PHY Txed	280	7	0	2	0	0	SR
2.83593	UE  PHY Txed	283	5	0	2	0	0	SR
2.83793	UE  PHY Txed	283	7	0	2	0	0	SR
2.87593	UE  PHY Txed	287	5	0	2	0	0	SR
2.91693	UE  PHY Txed	291	6	0	2	0	0	SR
2.93693	UE  PHY Txed	293	6	0	2	0	0	SR
2.97193	UE  PHY Txed	297	1	0	2	0	0	SR
2.98393	UE  PHY Txed	298	3	0	2	0	0	SR
2.99593	UE  PHY Txed	299	5	0	2	0	0	SR
3.00193	UE  PHY Txed	300	1	0	2	0	0	SR
3.00993	UE  PHY Txed	300	9	0	2	0	0	SR
3.04993	UE  PHY Txed	304	9	0	2	0	0	SR
3.06593	UE  PHY Txed	306	5	0	2	0	0	SR
3.07493	UE  PHY Txed	307	4	0	2	0	0	SR
3.08193	UE  PHY Txed	308	1	0	2	0	0	SR
3.14893	UE  PHY Txed	314	8	0	2	0	0	SR
3.15393	UE  PHY Txed	315	3	0	2	0	0	SR
3.16793	UE  PHY Txed	316	7	0	2	0	0	SR
3.18393	UE  PHY Txed	318	3	0	2	0	0	SR
3.19493	UE  PHY Txed	319	4	0	2	0	0	SR
3.21493	UE  PHY Txed	321	4	0	2	0	0	SR
3.23293	UE  PHY Txed	323	2	0	2	0	0	SR
3.28993	UE  PHY Txed	328	9	0	2	0	0	SR
3.29593	UE  PHY Txed	329	5	0	2	0	0	SR
3.31193	UE  PHY Txed	331	1	0	2	0	0	SR
3.32393	UE  PHY Txed	332	3	0	2	0	0	SR
3.33393	UE  PHY Txed	333	3	0	2	0	0	SR
3.36393	UE  PHY Txed	336	3	0	2	0	0	SR
3.39093	UE  PHY Txed	339	0	0	2	0	0	SR
3.39293	UE  PHY Txed	339	2	0	2	0	0	SR
3.45293	UE  PHY Txed	345	2	0	2	0	0	SR
3.46993	UE  PHY Txed	346	9	0	2	0	0	SR
3.49993	UE  PHY Txed	349	9	0	2	0	0	SR
3.53193	UE  PHY Txed	353	1	0	2	0	0	SR
3.54893	UE  PHY Txed	354	8	0	2	0	0	SR
3.58193	UE  PHY Txed	358	1	0	2	0	0	SR
3.58893	UE  PHY Txed	358	8	0	2	0	0	SR
3.62793	UE  PHY Txed	362	7	0	2	0	0	SR
3.66593	UE  PHY Txed	366	5	0	2	0	0	SR
3.70693	UE  PHY Txed	370	6	0	2	0	0	SR
3.71093	UE  PHY Txed	371	0	0	2	0	0	SR
3.74393	UE  PHY Txed	374	3	0	2	0	0	SR
3.78593	UE  PHY Txed	378	5	0	2	0	0	SR
3.83193	UE  PHY Txed	383	1	0	2	0	0	SR
3.83993	UE  PHY Txed	383	9	0	2	0	0	SR
3.86193	UE  PHY Txed	386	1	0	2	0	0	SR
3.86493	UE  PHY Txed	386	4	0	2	0	0	SR
3.93493	UE  PHY Txed	393	4	0	2	0	0	SR
3.93593	UE  PHY Txed	393	5	0	2	0	0	SR
3.94393	UE  PHY Txed	394	3	0	2	0	0	SR
3.96293	UE  PHY Txed	396	2	0	2	0	0	SR
3.96893	UE  PHY Txed	396	8	0	2	0	0	SR
3.98293	UE  PHY Txed	398	2	0	2	0	0	SR
3.99793	UE  PHY Txed	399	7	0	2	0	0	SR
4.02293	UE  PHY Txed	402	2	0	2	0	0	SR
4.07893	UE  PHY Txed	407	8	0	2	0	0	SR
4.09793	UE  PHY Txed	409	7	0	2	0	0	SR
4.10193	UE  PHY Txed	410	1	0	2	0	0	SR
4.16393	UE  PHY Txed	416	3	0	2	0	0	SR
4.16393	UE  PHY Txed	416	3	0	2	0	0	SR
4.16793	UE  PHY Txed	416	7	0	2	0	0	SR
4.18093	UE  PHY Txed	418	0	0	2	0	0	SR
4.18793	UE  PHY Txed	418	7	0	2	0	0	SR
4.22693	UE  PHY Txed	422	6	0	2	0	0	SR
4.25993	UE  PHY Txed	425	9	0	2	0	0	SR
4.32993	UE  PHY Txed	432	9	0	2	0	0	SR
4.33893	UE  PHY Txed	433	8	0	2	0	0	SR
4.35593	UE  PHY Txed	435	5	0	2	0	0	SR
4.39693	UE  PHY Txed	439	6	0	2	0	0	SR
4.41793	UE  PHY Txed	441	7	0	2	0	0	SR
4.45693	UE  PHY Txed	445	6	0	2	0	0	SR
4.48493	UE  PHY Txed	448	4	0	2	0	0	SR
4.49593	UE  PHY Txed	449	5	0	2	0	0	SR
4.49693	UE  PHY Txed	449	6	0	2	0	0	SR
4.54893	UE  PHY Txed	454	8	0	2	0	0	SR
4.57593	UE  PHY Txed	457	5	0	2	0	0	SR
4.61393	UE  PHY Txed	461	3	0	2	0	0	SR
4.65493	UE  PHY Txed	465	4	0	2	0	0	SR
4.66193	UE  PHY Txed	466	1	0	2	0	0	SR
4.73393	UE  PHY Txed	473	3	0	2	0	0	SR
4.74293	UE  PHY Txed	474	2	0	2	0	0	SR
4.74693	UE  PHY Txed	474	6	0	2	0	0	SR
4.75093	UE  PHY Txed	475	0	0	2	0	0	SR
4.81293	UE  PHY Txed	481	2	0	2	0	0	SR
4.81593	UE  PHY Txed	481	5	0	2	0	0	SR
4.81993	UE  PHY Txed	481	9	0	2	0	0	SR
4.82793	UE  PHY Txed	482	7	0	2	0	0	SR
4.84093	UE  PHY Txed	484	0	0	2	0	0	SR
4.84393	UE  PHY Txed	484	3	0	2	0	0	SR
4.87193	UE  PHY Txed	487	1	0	2	0	0	SR
4.89193	UE  PHY Txed	489	1	0	2	0	0	SR
4.92093	UE  PHY Txed	492	0	0	2	0	0	SR
4.96393	UE  PHY Txed	496	3	0	2	0	0	SR
4.97093	UE  PHY Txed	497	0	0	2	0	0	SR
4.98893	UE  PHY Txed	498	8	0	2	0	0	SR
4.99393	UE  PHY Txed	499	3	0	2	0	0	SR
5.00093	UE  PHY Txed	500	0	0	2	0	0	SR
5.04993	UE  PHY Txed	504	9	0	2	0	0	SR
5.07793	UE  PHY Txed	507	7	0	2	0	0	SR
5.09093	UE  PHY Txed	509	0	0	2	0	0	SR
5.12893	UE  PHY Txed	512	8	0	2	0	0	SR
5.12993	UE  PHY Txed	512	9	0	2	0	0	SR
5.15993	UE  PHY Txed	515	9	0	2	0	0	SR
5.20793	UE  PHY Txed	520	7	0	2	0	0	SR
5.25893	UE  PHY Txed	525	8	0	2	0	0	SR
5.28693	UE  PHY Txed	528	6	0	2	0	0	SR
5.32593	UE  PHY Txed	532	5	0	2	0	0	SR
5.32593	UE  PHY Txed	532	5	0	2	0	0	SR
5.36593	UE  PHY Txed	536	5	0	2	0	0	SR
5.38793	UE  PHY Txed	538	7	0	2	0	0	SR
5.44493	UE  PHY Txed	544	4	0	2	0	0	SR
5.49193	UE  PHY Txed	549	1	0	2	0	0	SR
5.49493	UE  PHY Txed	549	4	0	2	0	0	SR
