Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0.0179286	1	0	0	1	0	-79.0267
0.0179286	1	0	0	2	0	-62.4061
0.0179286	1	0	0	3	0	-74.4428
0.0179286	1	0	0	4	0	-62.7319
0.0179286	1	0	0	5	0	-62.9951
0.0179286	1	0	0	6	0	-75.4545
0.0179286	1	0	0	7	0	-73.6574
0.0179286	1	0	0	8	0	-59.0347
0.0179286	1	0	0	9	0	-59.4035
0.0179286	1	0	0	10	0	-67.819
0.0179286	1	0	0	11	0	-62.823
0.0179286	1	0	0	12	0	-57.997
0.0179286	1	0	0	13	0	-80.7564
0.0179286	1	0	0	14	0	-69.2648
0.0179286	1	0	0	15	0	-58.5187
0.0179286	1	0	0	16	0	-72.2558
0.0179286	1	0	0	17	0	-55.0981
0.0179286	1	0	0	18	0	-71.2452
0.0179286	1	0	0	19	0	-65.6475
0.0179286	1	0	0	20	0	-68.2397
0.0179286	1	0	0	21	0	-68.8991
0.0179286	1	0	0	22	0	-71.204
0.0179286	1	0	0	23	0	-75.3554
0.0179286	1	0	0	24	0	-65.144
0.0179286	1	0	0	25	0	-60.1778
0.0179286	1	0	0	26	0	-70.1417
0.0179286	1	0	0	27	0	-66.8275
0.0179286	1	0	0	28	0	-56.7518
0.0179286	1	0	0	29	0	-62.5286
0.0179286	1	0	0	30	0	-58.6507
0.0549286	1	0	0	14	0	-69.2648
0.0590714	1	0	0	14	0	-69.2648
0.0629286	1	0	0	3	0	-74.4428
0.0650714	1	0	0	14	0	-69.2648
0.0670714	1	0	0	3	0	-74.4428
0.0730714	1	0	0	3	0	-74.4428
0.0740714	1	0	0	3	0	-74.4428
0.0750714	1	0	0	3	0	-74.4428
0.0769286	1	0	0	24	0	-65.144
0.0790714	1	0	0	3	0	-74.4428
0.0800714	1	0	0	3	0	-74.4428
0.0810714	1	0	0	24	0	-65.144
0.0829286	1	0	0	23	0	-75.3554
0.0839286	1	0	0	7	0	-73.6574
0.0870714	1	0	0	23	0	-75.3554
0.0870714	1	0	0	24	0	-65.144
0.0879286	1	0	0	8	0	-59.0347
0.0880714	1	0	0	7	0	-73.6574
0.0880714	1	0	0	24	0	-65.144
0.0890714	1	0	0	24	0	-65.144
0.0900714	1	0	0	24	0	-65.144
0.0910714	1	0	0	24	0	-65.144
0.0919286	1	0	0	27	0	-66.8275
0.0920714	1	0	0	8	0	-59.0347
0.0920714	1	0	0	24	0	-65.144
0.0930714	1	0	0	24	0	-65.144
0.0940714	1	0	0	7	0	-73.6574
0.0940714	1	0	0	24	0	-65.144
0.0950714	1	0	0	24	0	-65.144
0.0959286	1	0	0	28	0	-56.7518
0.0960714	1	0	0	27	0	-66.8275
0.0960714	1	0	0	24	0	-65.144
0.0980714	1	0	0	8	0	-59.0347
0.0990714	1	0	0	8	0	-59.0347
0.100071	1	0	0	8	0	-59.0347
0.101071	1	0	0	8	0	-59.0347
0.102071	1	0	0	27	0	-66.8275
0.102071	1	0	0	8	0	-59.0347
0.103071	1	0	0	27	0	-66.8275
0.103929	1	0	0	29	0	-62.5286
0.104071	1	0	0	8	0	-59.0347
0.105071	1	0	0	8	0	-59.0347
0.106071	1	0	0	27	0	-66.8275
0.106071	1	0	0	8	0	-59.0347
0.106929	1	0	0	11	0	-62.823
0.107071	1	0	0	27	0	-66.8275
0.108071	1	0	0	29	0	-62.5286
0.108071	1	0	0	27	0	-66.8275
0.109071	1	0	0	27	0	-66.8275
0.109929	1	0	0	5	0	-62.9951
0.110071	1	0	0	28	0	-56.7518
0.111071	1	0	0	11	0	-62.823
0.111929	1	0	0	4	0	-62.7319
0.112071	1	0	0	27	0	-66.8275
0.114071	1	0	0	5	0	-62.9951
0.114071	1	0	0	29	0	-62.5286
0.114929	1	0	0	14	0	-69.2648
0.116071	1	0	0	4	0	-62.7319
0.116071	1	0	0	28	0	-56.7518
0.117071	1	0	0	11	0	-62.823
0.118071	1	0	0	28	0	-56.7518
0.118071	1	0	0	11	0	-62.823
0.119071	1	0	0	14	0	-69.2648
0.119071	1	0	0	28	0	-56.7518
0.119929	1	0	0	10	0	-67.819
0.120071	1	0	0	5	0	-62.9951
0.121071	1	0	0	5	0	-62.9951
0.122071	1	0	0	4	0	-62.7319
0.122929	1	0	0	3	0	-74.4428
0.123071	1	0	0	4	0	-62.7319
0.124071	1	0	0	4	0	-62.7319
0.125071	1	0	0	14	0	-69.2648
0.126071	1	0	0	5	0	-62.9951
0.126071	1	0	0	4	0	-62.7319
0.126929	1	0	0	6	0	-75.4545
0.127071	1	0	0	3	0	-74.4428
0.127071	1	0	0	5	0	-62.9951
0.127929	1	0	0	17	0	-55.0981
0.128071	1	0	0	4	0	-62.7319
0.128929	1	0	0	20	0	-68.2397
0.129071	1	0	0	5	0	-62.9951
0.129071	1	0	0	4	0	-62.7319
0.130071	1	0	0	5	0	-62.9951
0.131071	1	0	0	6	0	-75.4545
0.131071	1	0	0	5	0	-62.9951
0.132071	1	0	0	5	0	-62.9951
